protein	gene	uniprot	version	panel	sumstat_dir	chr	tss	gene_start	gene_end	strand	gene_id	annotation_matches	annotation_status	resource_source
OID20056	TSLP	Q969D9	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TSLP_Q969D9_OID20056_v1_Cardiometabolic	5	111070062	111070062	111078024	1	ENSG00000145777	1	unique_match	UKBB_EUR
OID20057	MFAP3	P55082	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/MFAP3_P55082_OID20057_v1_Cardiometabolic	5	154038906	154038906	154220478	1	ENSG00000037749	1	unique_match	UKBB_EUR
OID20058	TCL1B	O95988	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TCL1B_O95988_OID20058_v1_Cardiometabolic	14	95686417	95686417	95692643	1	ENSG00000213231	1	unique_match	UKBB_EUR
OID20059	DUOX2	Q9NRD8	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/DUOX2_Q9NRD8_OID20059_v1_Cardiometabolic	15	45114344	45092650	45114344	-1	ENSG00000140279	1	unique_match	UKBB_EUR
OID20061	CTF1	Q16619	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CTF1_Q16619_OID20061_v1_Cardiometabolic	16	30896607	30896607	30903560	1	ENSG00000150281	2	multi_match_first	UKBB_EUR
OID20062	AKR1C4	P17516	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/AKR1C4_P17516_OID20062_v1_Cardiometabolic	10	5195462	5195462	5218949	1	ENSG00000198610	1	unique_match	UKBB_EUR
OID20063	HEBP1	Q9NRV9	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/HEBP1_Q9NRV9_OID20063_v1_Cardiometabolic	12	13000273	12974864	13000273	-1	ENSG00000013583	1	unique_match	UKBB_EUR
OID20064	SERPINB5	P36952	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/SERPINB5_P36952_OID20064_v1_Cardiometabolic	18	63476761	63476761	63505085	1	ENSG00000206075	1	unique_match	UKBB_EUR
OID20065	HK2	P52789	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/HK2_P52789_OID20065_v1_Cardiometabolic	2	74833981	74833981	74893359	1	ENSG00000159399	1	unique_match	UKBB_EUR
OID20066	GRK5	P34947	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/GRK5_P34947_OID20066_v1_Cardiometabolic	10	119207589	119207589	119459742	1	ENSG00000198873	1	unique_match	UKBB_EUR
OID20067	VSTM2L	Q96N03	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/VSTM2L_Q96N03_OID20067_v1_Cardiometabolic	20	37903104	37903104	37945350	1	ENSG00000132821	1	unique_match	UKBB_EUR
OID20068	TIA1	P31483	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TIA1_P31483_OID20068_v1_Cardiometabolic	2	70248660	70209444	70248660	-1	ENSG00000116001	1	unique_match	UKBB_EUR
OID20069	CNPY2	Q9Y2B0	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CNPY2_Q9Y2B0_OID20069_v1_Cardiometabolic	12	56316336	56309842	56316336	-1	ENSG00000257727	1	unique_match	UKBB_EUR
OID20070	CRX	O43186	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CRX_O43186_OID20070_v1_Cardiometabolic	19	47819779	47819779	47843330	1	ENSG00000105392	1	unique_match	UKBB_EUR
OID20071	VAMP5	O95183	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/VAMP5_O95183_OID20071_v1_Cardiometabolic	2	85584408	85584408	85593412	1	ENSG00000168899	1	unique_match	UKBB_EUR
OID20072	SUSD1	Q6UWL2	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/SUSD1_Q6UWL2_OID20072_v1_Cardiometabolic	9	112175408	112040785	112175408	-1	ENSG00000106868	1	unique_match	UKBB_EUR
OID20073	RCOR1	Q9UKL0	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/RCOR1_Q9UKL0_OID20073_v1_Cardiometabolic	14	102592661	102592661	102730576	1	ENSG00000089902	1	unique_match	UKBB_EUR
OID20074	TNF	P01375	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TNF_P01375_OID20074_v1_Cardiometabolic	6	31575567	31575567	31578336	1	ENSG00000232810	1	unique_match	UKBB_EUR
OID20075	CA5A	P35218	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CA5A_P35218_OID20075_v1_Cardiometabolic	16	87936529	87881546	87936529	-1	ENSG00000174990	1	unique_match	UKBB_EUR
OID20076	FABP6	P51161	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/FABP6_P51161_OID20076_v1_Cardiometabolic	5	160187367	160187367	160238735	1	ENSG00000170231	1	unique_match	UKBB_EUR
OID20077	STK11	Q15831	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/STK11_Q15831_OID20077_v1_Cardiometabolic	19	1177558	1177558	1228435	1	ENSG00000118046	2	multi_match_first	UKBB_EUR
OID20078	TSPAN1	O60635	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TSPAN1_O60635_OID20078_v1_Cardiometabolic	1	46175073	46175073	46185958	1	ENSG00000117472	1	unique_match	UKBB_EUR
OID20079	ACTA2	P62736	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ACTA2_P62736_OID20079_v1_Cardiometabolic	10	88991339	88935074	88991339	-1	ENSG00000107796	2	multi_match_first	UKBB_EUR
OID20080	MTPN	P58546	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/MTPN_P58546_OID20080_v1_Cardiometabolic	7	135977353	135926761	135977353	-1	ENSG00000105887	1	unique_match	UKBB_EUR
OID20081	EDIL3	O43854	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/EDIL3_O43854_OID20081_v1_Cardiometabolic	5	84384793	83940554	84384793	-1	ENSG00000164176	1	unique_match	UKBB_EUR
OID20082	ZBTB17	Q13105	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ZBTB17_Q13105_OID20082_v1_Cardiometabolic	1	15976132	15941869	15976132	-1	ENSG00000116809	1	unique_match	UKBB_EUR
OID20083	PTN	P21246	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PTN_P21246_OID20083_v1_Cardiometabolic	7	137343865	137227341	137343865	-1	ENSG00000105894	1	unique_match	UKBB_EUR
OID20084	CEP43	O95684	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CEP43_O95684_OID20084_v1_Cardiometabolic							0	missing	UKBB_EUR
OID20085	IRAG2	Q12912	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/IRAG2_Q12912_OID20085_v1_Cardiometabolic							0	missing	UKBB_EUR
OID20086	COMT	P21964	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/COMT_P21964_OID20086_v1_Cardiometabolic	22	19941607	19941607	19969975	1	ENSG00000093010	1	unique_match	UKBB_EUR
OID20087	MMP7	P09237	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/MMP7_P09237_OID20087_v1_Cardiometabolic	11	102530753	102520508	102530753	-1	ENSG00000137673	1	unique_match	UKBB_EUR
OID20088	PON2	Q15165	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PON2_Q15165_OID20088_v1_Cardiometabolic	7	95435329	95404863	95435329	-1	ENSG00000105854	1	unique_match	UKBB_EUR
OID20089	ADAMTS16	Q8TE57	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ADAMTS16_Q8TE57_OID20089_v1_Cardiometabolic	5	5140330	5140330	5320304	1	ENSG00000145536	1	unique_match	UKBB_EUR
OID20090	GP2	P55259	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/GP2_P55259_OID20090_v1_Cardiometabolic	16	20327808	20309572	20327808	-1	ENSG00000169347	1	unique_match	UKBB_EUR
OID20091	WASF1	Q92558	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/WASF1_Q92558_OID20091_v1_Cardiometabolic	6	110180004	110099819	110180004	-1	ENSG00000112290	1	unique_match	UKBB_EUR
OID20092	MPHOSPH8	Q99549	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/MPHOSPH8_Q99549_OID20092_v1_Cardiometabolic	13	19633681	19633681	19673459	1	ENSG00000196199	1	unique_match	UKBB_EUR
OID20093	DNAJB8	Q8NHS0	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/DNAJB8_Q8NHS0_OID20093_v1_Cardiometabolic	3	128467248	128462439	128467248	-1	ENSG00000179407	1	unique_match	UKBB_EUR
OID20094	SLITRK6	Q9H5Y7	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/SLITRK6_Q9H5Y7_OID20094_v1_Cardiometabolic	13	85799488	85792790	85799488	-1	ENSG00000184564	1	unique_match	UKBB_EUR
OID20095	GPR37	O15354	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/GPR37_O15354_OID20095_v1_Cardiometabolic	7	124765627	124745997	124765627	-1	ENSG00000170775	1	unique_match	UKBB_EUR
OID20096	GZMH	P20718	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/GZMH_P20718_OID20096_v1_Cardiometabolic	14	24609699	24606480	24609699	-1	ENSG00000100450	1	unique_match	UKBB_EUR
OID20097	GYS1	P13807	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/GYS1_P13807_OID20097_v1_Cardiometabolic	19	48993310	48968125	48993310	-1	ENSG00000104812	1	unique_match	UKBB_EUR
OID20098	THPO	P40225	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/THPO_P40225_OID20098_v1_Cardiometabolic	3	184378144	184371935	184378144	-1	ENSG00000090534	1	unique_match	UKBB_EUR
OID20099	CLEC1A	Q8NC01	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CLEC1A_Q8NC01_OID20099_v1_Cardiometabolic	12	10111627	10069554	10111627	-1	ENSG00000150048	1	unique_match	UKBB_EUR
OID20100	ENTPD6	O75354	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ENTPD6_O75354_OID20100_v1_Cardiometabolic	20	25195693	25195693	25226729	1	ENSG00000197586	1	unique_match	UKBB_EUR
OID20101	IL6	P05231	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/IL6_P05231_OID20101_v1_Cardiometabolic	7	22725884	22725884	22732002	1	ENSG00000136244	1	unique_match	UKBB_EUR
OID20102	CEACAM8	P31997	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CEACAM8_P31997_OID20102_v1_Cardiometabolic	19	42595055	42580241	42595055	-1	ENSG00000124469	1	unique_match	UKBB_EUR
OID20103	S100P	P25815	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/S100P_P25815_OID20103_v1_Cardiometabolic	4	6693069	6693069	6697170	1	ENSG00000163993	1	unique_match	UKBB_EUR
OID20104	ENTPD5	O75356	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ENTPD5_O75356_OID20104_v1_Cardiometabolic	14	74019399	73958010	74019399	-1	ENSG00000187097	1	unique_match	UKBB_EUR
OID20105	ACE2	Q9BYF1	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ACE2_Q9BYF1_OID20105_v1_Cardiometabolic	23	15602148	15561033	15602148	-1	ENSG00000130234	1	unique_match	UKBB_EUR
OID20106	DCN	P07585	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/DCN_P07585_OID20106_v1_Cardiometabolic	12	91183123	91140484	91183123	-1	ENSG00000011465	1	unique_match	UKBB_EUR
OID20107	GLO1	Q04760	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/GLO1_Q04760_OID20107_v1_Cardiometabolic	6	38703141	38675925	38703141	-1	ENSG00000124767	1	unique_match	UKBB_EUR
OID20108	PAG1	Q9NWQ8	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PAG1_Q9NWQ8_OID20108_v1_Cardiometabolic	8	81112068	80967810	81112068	-1	ENSG00000076641	1	unique_match	UKBB_EUR
OID20109	ADAM15	Q13444	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ADAM15_Q13444_OID20109_v1_Cardiometabolic	1	155050566	155050566	155062775	1	ENSG00000143537	1	unique_match	UKBB_EUR
OID20110	USP8	P40818	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/USP8_P40818_OID20110_v1_Cardiometabolic	15	50424380	50424380	50514419	1	ENSG00000138592	1	unique_match	UKBB_EUR
OID20111	BMP6	P22004	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/BMP6_P22004_OID20111_v1_Cardiometabolic	6	7726797	7726797	7881422	1	ENSG00000153162	1	unique_match	UKBB_EUR
OID20112	ITGB1BP2	Q9UKP3	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ITGB1BP2_Q9UKP3_OID20112_v1_Cardiometabolic	23	71301734	71301734	71305371	1	ENSG00000147166	1	unique_match	UKBB_EUR
OID20113	CTSH	P09668	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CTSH_P09668_OID20113_v1_Cardiometabolic	15	78949574	78921058	78949574	-1	ENSG00000103811	1	unique_match	UKBB_EUR
OID20114	BAG6	P46379	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/BAG6_P46379_OID20114_v1_Cardiometabolic	6	31652705	31639028	31652705	-1	ENSG00000204463	1	unique_match	UKBB_EUR
OID20115	MSTN	O14793	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/MSTN_O14793_OID20115_v1_Cardiometabolic	2	190062729	190055697	190062729	-1	ENSG00000138379	2	multi_match_first	UKBB_EUR
OID20116	BOC	Q9BWV1	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/BOC_Q9BWV1_OID20116_v1_Cardiometabolic	3	113211003	113211003	113287459	1	ENSG00000144857	1	unique_match	UKBB_EUR
OID20117	ADH4	P08319	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ADH4_P08319_OID20117_v1_Cardiometabolic	4	99157792	99123657	99157792	-1	ENSG00000198099	1	unique_match	UKBB_EUR
OID20118	CLTA	P09496	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CLTA_P09496_OID20118_v1_Cardiometabolic	9	36190856	36190856	36304781	1	ENSG00000122705	1	unique_match	UKBB_EUR
OID20119	EPHX2	P34913	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/EPHX2_P34913_OID20119_v1_Cardiometabolic	8	27490779	27490779	27545564	1	ENSG00000120915	1	unique_match	UKBB_EUR
OID20120	TP53INP1	Q96A56	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TP53INP1_Q96A56_OID20120_v1_Cardiometabolic	8	94949411	94925972	94949411	-1	ENSG00000164938	1	unique_match	UKBB_EUR
OID20121	CCL27	Q9Y4X3	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CCL27_Q9Y4X3_OID20121_v1_Cardiometabolic	9	34664048	34661880	34664048	-1	ENSG00000213927	1	unique_match	UKBB_EUR
OID20122	AK1	P00568	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/AK1_P00568_OID20122_v1_Cardiometabolic	9	127877743	127866480	127877743	-1	ENSG00000106992	1	unique_match	UKBB_EUR
OID20123	ANXA4	P09525	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ANXA4_P09525_OID20123_v1_Cardiometabolic	2	69644425	69644425	69827100	1	ENSG00000196975	1	unique_match	UKBB_EUR
OID20124	ACOX1	Q15067	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ACOX1_Q15067_OID20124_v1_Cardiometabolic	17	75979363	75941507	75979363	-1	ENSG00000161533	1	unique_match	UKBB_EUR
OID20125	NTproBNP	NTproBNP	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/NTproBNP_NTproBNP_OID20125_v1_Cardiometabolic							0	missing	UKBB_EUR
OID20126	CLC	Q05315	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CLC_Q05315_OID20126_v1_Cardiometabolic	19	39738028	39731250	39738028	-1	ENSG00000105205	1	unique_match	UKBB_EUR
OID20127	CNST	Q6PJW8	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CNST_Q6PJW8_OID20127_v1_Cardiometabolic	1	246566444	246566444	246668584	1	ENSG00000162852	1	unique_match	UKBB_EUR
OID20128	LEPR	P48357	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/LEPR_P48357_OID20128_v1_Cardiometabolic	1	65420652	65420652	65641559	1	ENSG00000116678	2	multi_match_first	UKBB_EUR
OID20129	TSHB	P01222	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TSHB_P01222_OID20129_v1_Cardiometabolic	1	115029824	115029824	115034309	1	ENSG00000134200	1	unique_match	UKBB_EUR
OID20130	S100A11	P31949	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/S100A11_P31949_OID20130_v1_Cardiometabolic	1	152047907	152032506	152047907	-1	ENSG00000163191	1	unique_match	UKBB_EUR
OID20131	VSIR	Q9H7M9	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/VSIR_Q9H7M9_OID20131_v1_Cardiometabolic							0	missing	UKBB_EUR
OID20132	PCDH17	O14917	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PCDH17_O14917_OID20132_v1_Cardiometabolic	13	57631810	57631810	57729311	1	ENSG00000118946	1	unique_match	UKBB_EUR
OID20133	PDGFRA	P16234	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PDGFRA_P16234_OID20133_v1_Cardiometabolic	4	54229097	54229097	54298247	1	ENSG00000134853	2	multi_match_first	UKBB_EUR
OID20134	CDH17	Q12864	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CDH17_Q12864_OID20134_v1_Cardiometabolic	8	94217303	94127171	94217303	-1	ENSG00000079112	1	unique_match	UKBB_EUR
OID20135	SNX9	Q9Y5X1	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/SNX9_Q9Y5X1_OID20135_v1_Cardiometabolic	6	157700387	157700387	157945077	1	ENSG00000130340	1	unique_match	UKBB_EUR
OID20136	NTRK2	Q16620	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/NTRK2_Q16620_OID20136_v1_Cardiometabolic	9	84668551	84668551	85027070	1	ENSG00000148053	1	unique_match	UKBB_EUR
OID20137	ACY1	Q03154	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ACY1_Q03154_OID20137_v1_Cardiometabolic	3	51983278	51983278	51989202	1	ENSG00000243989	1	unique_match	UKBB_EUR
OID20138	DOK2	O60496	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/DOK2_O60496_OID20138_v1_Cardiometabolic	8	21913860	21908873	21913860	-1	ENSG00000147443	1	unique_match	UKBB_EUR
OID20139	AGXT	P21549	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/AGXT_P21549_OID20139_v1_Cardiometabolic	2	240868479	240868479	240880502	1	ENSG00000172482	1	unique_match	UKBB_EUR
OID20140	STK4	Q13043	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/STK4_Q13043_OID20140_v1_Cardiometabolic	20	44966474	44966474	45079959	1	ENSG00000101109	2	multi_match_first	UKBB_EUR
OID20141	TGM2	P21980	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/TGM2_P21980_OID20141_v1_Cardiometabolic	20	38166578	38127387	38166578	-1	ENSG00000198959	1	unique_match	UKBB_EUR
OID20142	DPP7	Q9UHL4	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/DPP7_Q9UHL4_OID20142_v1_Cardiometabolic	9	137115177	137110542	137115177	-1	ENSG00000176978	1	unique_match	UKBB_EUR
OID20143	PLIN3	O60664	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PLIN3_O60664_OID20143_v1_Cardiometabolic	19	4867768	4838341	4867768	-1	ENSG00000105355	1	unique_match	UKBB_EUR
OID20144	PLPBP	O94903	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PLPBP_O94903_OID20144_v1_Cardiometabolic							0	missing	UKBB_EUR
OID20145	ICAM5	Q9UMF0	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ICAM5_Q9UMF0_OID20145_v1_Cardiometabolic	19	10289981	10289981	10296778	1	ENSG00000105376	1	unique_match	UKBB_EUR
OID20146	PRKAR1A	P10644	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PRKAR1A_P10644_OID20146_v1_Cardiometabolic	17	68511780	68511780	68551319	1	ENSG00000108946	2	multi_match_first	UKBB_EUR
OID20147	IL6ST	P40189	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/IL6ST_P40189_OID20147_v1_Cardiometabolic	5	55994993	55935095	55994993	-1	ENSG00000134352	1	unique_match	UKBB_EUR
OID20148	DCTPP1	Q9H773	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/DCTPP1_Q9H773_OID20148_v1_Cardiometabolic	16	30430075	30423619	30430075	-1	ENSG00000179958	1	unique_match	UKBB_EUR
OID20149	PM20D1	Q6GTS8	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/PM20D1_Q6GTS8_OID20149_v1_Cardiometabolic	1	205850132	205828022	205850132	-1	ENSG00000162877	1	unique_match	UKBB_EUR
OID20150	LACTB2	Q53H82	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/LACTB2_Q53H82_OID20150_v1_Cardiometabolic	8	70669174	70635318	70669174	-1	ENSG00000147592	1	unique_match	UKBB_EUR
OID20151	FADD	Q13158	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/FADD_Q13158_OID20151_v1_Cardiometabolic	11	70203163	70203163	70207390	1	ENSG00000168040	2	multi_match_first	UKBB_EUR
OID20152	CGREF1	Q99674	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CGREF1_Q99674_OID20152_v1_Cardiometabolic	2	27119115	27098889	27119115	-1	ENSG00000138028	1	unique_match	UKBB_EUR
OID20153	CXCL8	P10145	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CXCL8_P10145_OID20153_v1_Cardiometabolic	4	73740506	73740506	73743716	1	ENSG00000169429	1	unique_match	UKBB_EUR
OID20154	LGALS1	P09382	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/LGALS1_P09382_OID20154_v1_Cardiometabolic	22	37675608	37675608	37679806	1	ENSG00000100097	1	unique_match	UKBB_EUR
OID20155	IGFBPL1	Q8WX77	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/IGFBPL1_Q8WX77_OID20155_v1_Cardiometabolic	9	38424447	38408994	38424447	-1	ENSG00000137142	1	unique_match	UKBB_EUR
OID20156	MNDA	P41218	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/MNDA_P41218_OID20156_v1_Cardiometabolic	1	158831317	158831317	158849506	1	ENSG00000163563	1	unique_match	UKBB_EUR
OID20157	CDH6	P55285	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/CDH6_P55285_OID20157_v1_Cardiometabolic	5	31193750	31193750	31329146	1	ENSG00000113361	1	unique_match	UKBB_EUR
OID20158	IL19	Q9UHD0	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/IL19_Q9UHD0_OID20158_v1_Cardiometabolic	1	206798870	206798870	206842981	1	ENSG00000142224	1	unique_match	UKBB_EUR
OID20159	ACAN	P16112	v1	Cardiometabolic	/data/Dutta_lab/decode/ukb_ppp/EUR/ACAN_P16112_OID20159_v1_Cardiometabolic	15	88803443	88803443	88875354	1	ENSG00000157766	1	unique_match	UKBB_EUR
