seqid	seqid_raw	probeid	sumstat_file	file_basename	parsed_symbol	parsed_alias	package_symbol	symbol	gene_name	target_full_name	gene_name_hg38	uniprot_ids	entrez_ids	ensembl_gene_ids	gene_id_hg38	cytoband	chromosome_hg38	gene_start_hg38	gene_end_hg38	strand_hg38	tss_hg38	n_somascan_rows	n_coord_rows	mapping_source
"SeqId_17370_186"	"17370_186"	"17370-186"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17370_186_ABHD10_ABHDA.txt.gz"	"17370_186_ABHD10_ABHDA.txt.gz"	"ABHD10"	"ABHDA"	"ABHD10"	"ABHD10"	"abhydrolase domain containing 10, depalmitoylase"	"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"	"ABHD10"	"Q9NUJ1;B7Z6A8;C9IZX5;D3DN63;Q8TCF9"	"55347"	"ENSG00000144827"	"ENSG00000144827"	"3q13.2"	"3"	111979010	111993363	1	111979010	5	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_7825_7"	"7825_7"	"7825-7"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/7825_7_ABHD12_ABD12.txt.gz"	"7825_7_ABHD12_ABD12.txt.gz"	"ABHD12"	"ABD12"	"ABHD12"	"ABHD12"	"abhydrolase domain containing 12, lysophospholipase"	"Monoacylglycerol lipase ABHD12"	"ABHD12"	"A6NED4;A6NJ90;A8K450;B4DE71;Q5T710;Q5T711;Q8N2K0;Q96CR1;Q9BX05;Q9NPX7;Q9UFV6;A0A5F9ZH71;I3L206;I3L1V0"	"26090"	"ENSG00000100997"	"ENSG00000100997"	"20p11.21"	"20"	25294743	25390983	-1	25390983	14	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_5715_4"	"5715_4"	"5715-4"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/5715_4_ABHD14A_ABHEA.txt.gz"	"5715_4_ABHD14A_ABHEA.txt.gz"	"ABHD14A"	"ABHEA"	"ABHD14A"	"ABHD14A"	"abhydrolase domain containing 14A"	"Protein ABHD14A"	"ABHD14A"	"Q6UXU8;Q9BUJ0;Q9Y3T7"	"25864"	"ENSG00000248487"	"ENSG00000248487"	"3p21.2"	"3"	51971426	51981199	1	51971426	3	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_19325_21"	"19325_21"	"19325-21"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/19325_21_ABHD14B_ABHEB.txt.gz"	"19325_21_ABHD14B_ABHEB.txt.gz"	"ABHD14B"	"ABHEB"	"ABHD14B"	"ABHD14B"	"abhydrolase domain containing 14B"	"Protein ABHD14B"	"ABHD14B"	"A0A024R352;F8W9U3;Q86VK8;Q8N8W5;Q96IU4;V9HW87"	"84836"	"ENSG00000114779"	"ENSG00000114779"	"3p21.2"	"3"	51968510	51983409	-1	51983409	6	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_3341_33"	"3341_33"	"3341-33"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/3341_33_ABL1_ABL1.txt.gz"	"3341_33_ABL1_ABL1.txt.gz"	"ABL1"	"ABL1"	"ABL1"	"ABL1"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"Tyrosine-protein kinase ABL1"	"ABL1"	"A3KFJ3;P00519;Q13869;Q13870;Q16133;Q17R61;Q45F09;Q59FK4"	"25"	"ENSG00000097007"	"ENSG00000097007"	"9q34.12"	"9"	130713946	130887675	1	130713946	8	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_3342_76"	"3342_76"	"3342-76"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/3342_76_ABL2_ABL2.txt.gz"	"3342_76_ABL2_ABL2.txt.gz"	"ABL2"	"ABL2"	"ABL2"	"ABL2"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"Abelson tyrosine-protein kinase 2"	"ABL2"	"P42684;A0M8X0;B7UEF2;B7UEF3;B7UEF4;B7UEF5;Q5T0X6;Q5W0C5;Q6NZY6;Q7Z301"	"27"	"ENSG00000143322"	"ENSG00000143322"	"1q25.2"	"1"	179099327	179229684	-1	179229684	10	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_5261_13"	"5261_13"	"5261-13"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/5261_13_ABL2_ABL2.txt.gz"	"5261_13_ABL2_ABL2.txt.gz"	"ABL2"	"ABL2"	"ABL2"	"ABL2"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"Abelson tyrosine-protein kinase 2"	"ABL2"	"P42684;A0M8X0;B7UEF2;B7UEF3;B7UEF4;B7UEF5;Q5T0X6;Q5W0C5;Q6NZY6;Q7Z301"	"27"	"ENSG00000143322"	"ENSG00000143322"	"1q25.2"	"1"	179099327	179229684	-1	179229684	10	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_13578_98"	"13578_98"	"13578-98"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/13578_98_ABLIM3_ABLM3.txt.gz"	"13578_98_ABLIM3_ABLM3.txt.gz"	"ABLIM3"	"ABLM3"	"ABLIM3"	"ABLIM3"	"actin binding LIM protein family member 3"	"Actin-binding LIM protein 3"	"ABLIM3"	"A8K121;O94929;Q19VH3;Q658S1;Q68CI5;Q9BV32;A0A0C4DGA7"	"22885"	"ENSG00000173210"	"ENSG00000173210"	"5q32"	"5"	149141483	149260542	1	149141483	7	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_9253_52"	"9253_52"	"9253-52"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/9253_52_ABO_BGAT.txt.gz"	"9253_52_ABO_BGAT.txt.gz"	"ABO"	"BGAT"	"ABO"	"ABO"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	"Histo-blood group ABO system transferase"	"ABO"	"A0A068B0Y9;A0A1A9C8T9;A0A3G8GDZ7;A0A3G8GE08;A0A5J6CXZ0;B0B1U2;F2X1S4;H6A2X0;Q45FB1;S5U048;S5UHX9;A0A087X0C2;A0A089QDC1;A0A0A1TJL0;A0A0A8WK19;A0A1A9C7R9;A0A1A9C8U5;A0A1A9C9H5;B0JDB9;E1Y3Y7;H6VPB4;J9XP05;K4MMM0;K4MQF1;O14758;P16442;Q14490;Q53I57;Q6ISD4;Q6KFZ2;Q70V27;Q99484;Q99485;Q9NY01;Q9UQ68;Q9UQ69;W6JLF7"	"28"	"ENSG00000175164;ENSG00000281879"	"ENSG00000175164"	"9q34.2"	"9"	133250401	133275214	-1	133275214	74	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8784_7"	"8784_7"	"8784-7"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8784_7_FAM175A_F175A.txt.gz"	"8784_7_FAM175A_F175A.txt.gz"	"FAM175A"	"F175A"	"ABRAXAS1"	"ABRAXAS1"	"abraxas 1, BRCA1 A complex subunit"	"BRCA1-A complex subunit Abraxas"	NA	"D6REL5;A5JJ07;Q6UWZ7;Q9H8I1;Q9H9N4"	"84142"	"ENSG00000163322"	NA	"4q21.23"	NA	NA	NA	NA	NA	5	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8945_7"	"8945_7"	"8945-7"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8945_7_FAM175B_F175B.txt.gz"	"8945_7_FAM175B_F175B.txt.gz"	"FAM175B"	"F175B"	"ABRAXAS2"	"ABRAXAS2"	"abraxas 2, BRISC complex subunit"	"BRISC complex subunit Abro1"	NA	"B4DKR2;Q15018;Q96H11"	"23172"	"ENSG00000165660"	NA	"10q26.13"	NA	NA	NA	NA	NA	3	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17782_23"	"17782_23"	"17782-23"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17782_23_ACAA1_THIK.txt.gz"	"17782_23_ACAA1_THIK.txt.gz"	"ACAA1"	"THIK"	"ACAA1"	"ACAA1"	"acetyl-CoA acyltransferase 1"	"3-ketoacyl-CoA thiolase, peroxisomal"	"ACAA1"	"A0A140VJX0;A0A024R2M6;A0A384NL32;C9JDE9;G5E935;P09110;Q96CA6;Q8NCW8"	"30"	"ENSG00000060971"	"ENSG00000060971"	"3p22.2"	"3"	38103129	38137242	-1	38137242	8	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_11406_82"	"11406_82"	"11406-82"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/11406_82_ACAD8_ACAD8.txt.gz"	"11406_82_ACAD8_ACAD8.txt.gz"	"ACAD8"	"ACAD8"	"ACAD8"	"ACAD8"	"acyl-CoA dehydrogenase family member 8"	"Isobutyryl-CoA dehydrogenase, mitochondrial"	"ACAD8"	"B7Z5W4;Q6ZWP6;Q9BUS8;Q9UKU7"	"27034"	"ENSG00000151498"	"ENSG00000151498"	"11q25"	"11"	134253495	134265855	1	134253495	4	2	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17857_6"	"17857_6"	"17857-6"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17857_6_ACADL_ACADL.txt.gz"	"17857_6_ACADL_ACADL.txt.gz"	"ACADL"	"ACADL"	"ACADL"	"ACADL"	"acyl-CoA dehydrogenase long chain"	"Long-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADL"	"B2R8T3;P28330;Q8IUN8"	"33"	"ENSG00000115361"	"ENSG00000115361"	"2q34"	"2"	210187939	210225491	-1	210225491	3	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17333_20"	"17333_20"	"17333-20"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17333_20_ACADM_ACADM.txt.gz"	"17333_20_ACADM_ACADM.txt.gz"	"ACADM"	"ACADM"	"ACADM"	"ACADM"	"acyl-CoA dehydrogenase medium chain"	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADM"	"A0A0S2Z366;F6YB23;P11310;Q5T4U4;Q9NYF1;B4DWX6;B7Z9I1;Q5HYG7;Q5T4U5;A0A7P0TB55;B4DJE7"	"34"	"ENSG00000117054"	"ENSG00000117054"	"1p31.1"	"1"	75724347	75787575	1	75724347	11	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17393_13"	"17393_13"	"17393-13"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17393_13_ACADS_SCAD.txt.gz"	"17393_13_ACADS_SCAD.txt.gz"	"ACADS"	"SCAD"	"ACADS"	"ACADS"	"acyl-CoA dehydrogenase short chain"	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADS"	"D4QEZ8;E5KSD5;E5KSE7;P16219;P78331;B4DUH1;E9PE82"	"35"	"ENSG00000122971"	"ENSG00000122971"	"12q24.31"	"12"	120725735	120740008	1	120725735	7	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17403_14"	"17403_14"	"17403-14"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17403_14_ACADSB_acyl_Coenzyme_A_dehydrogenase.txt.gz"	"17403_14_ACADSB_acyl_Coenzyme_A_dehydrogenase.txt.gz"	"ACADSB"	"acyl_Coenzyme_A_dehydrogenase"	"ACADSB"	"ACADSB"	"acyl-CoA dehydrogenase short/branched chain"	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADSB"	"P45954;A0A0S2Z3P9;B4DQ51;Q5SQN6;Q96CX7"	"36"	"ENSG00000196177"	"LRG_451"	"10q26.13"	"10"	123008913	123058290	1	123008913	5	2	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_19262_219"	"19262_219"	"19262-219"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/19262_219_ACADVL_ACADV.txt.gz"	"19262_219_ACADVL_ACADV.txt.gz"	"ACADVL"	"ACADV"	"ACADVL"	"ACADVL"	"acyl-CoA dehydrogenase very long chain"	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"	"ACADVL"	"B4DEB6;F5H2A9;O76056;P49748;Q53HR2;Q8WUL0;B3KPA6"	"37"	"ENSG00000072778"	"ENSG00000072778"	"17p13.1"	"17"	7217125	7225273	1	7217125	7	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_3280_49"	"3280_49"	"3280-49"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/3280_49_ACAN_Aggrecan.txt.gz"	"3280_49_ACAN_Aggrecan.txt.gz"	"ACAN"	"Aggrecan"	"ACAN"	"ACAN"	"aggrecan"	"Aggrecan core protein"	"ACAN"	"E7ENV9;H0YMF1;A0A5K1VW97;B9EK55;E7EX88;H0YM81;P16112;Q13650;Q9UCD3;Q9UCP4;Q9UCP5;Q9UDE0"	"176"	"ENSG00000157766"	"ENSG00000157766"	"15q26.1"	"15"	88803443	88875354	1	88803443	12	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_12343_14"	"12343_14"	"12343-14"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/12343_14_ACAP2_CENB2.txt.gz"	"12343_14_ACAP2_CENB2.txt.gz"	"ACAP2"	"CENB2"	"ACAP2"	"ACAP2"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"	"ACAP2"	"A8K2V4;Q15057;Q8N5Z8;Q9UQR3"	"23527"	"ENSG00000114331"	"ENSG00000114331"	"3q29"	"3"	195274736	195443078	-1	195443078	4	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_19197_95"	"19197_95"	"19197-95"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/19197_95_ACAT1_THIL.txt.gz"	"19197_95_ACAT1_THIL.txt.gz"	"ACAT1"	"THIL"	"ACAT1"	"ACAT1"	"acetyl-CoA acetyltransferase 1"	"Acetyl-CoA acetyltransferase, mitochondrial"	"ACAT1"	"A0A140VJX1;B2R6H1;G3XAB4;P24752;Q96FG8;A0A5F9ZHL1;A0A5F9ZHD4;A0A5F9ZI66;A0A5F9ZHJ0"	"38"	"ENSG00000075239"	"ENSG00000075239"	"11q22.3"	"11"	108121516	108147776	1	108121516	9	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17341_89"	"17341_89"	"17341-89"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17341_89_ACAT2_THIC.txt.gz"	"17341_89_ACAT2_THIC.txt.gz"	"ACAT2"	"THIC"	"ACAT2"	"ACAT2"	"acetyl-CoA acetyltransferase 2"	"Acetyl-CoA acetyltransferase, cytosolic"	"ACAT2"	"Q59GW6;A8K4W5;B7Z233;E1P5B1;Q16146;Q5TCL7;Q8TDM4;Q9BWD1"	"39"	"ENSG00000120437"	"ENSG00000120437"	"6q25.3"	"6"	159760328	159779055	1	159760328	8	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_10075_75"	"10075_75"	"10075-75"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/10075_75_ACBD6_ACBD6.txt.gz"	"10075_75_ACBD6_ACBD6.txt.gz"	"ACBD6"	"ACBD6"	"ACBD6"	"ACBD6"	"acyl-CoA binding domain containing 6"	"Acyl-CoA-binding domain-containing protein 6"	"ACBD6"	"B2RAA8;Q9BR61"	"84320"	"ENSG00000230124"	"ENSG00000230124"	"1q25.2-q25.3"	"1"	180269653	180502954	-1	180502954	2	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_19341_36"	"19341_36"	"19341-36"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/19341_36_ACBD6_ACBD6.txt.gz"	"19341_36_ACBD6_ACBD6.txt.gz"	"ACBD6"	"ACBD6"	"ACBD6"	"ACBD6"	"acyl-CoA binding domain containing 6"	"Acyl-CoA-binding domain-containing protein 6"	"ACBD6"	"B2RAA8;Q9BR61"	"84320"	"ENSG00000230124"	"ENSG00000230124"	"1q25.2-q25.3"	"1"	180269653	180502954	-1	180502954	2	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_13563_259"	"13563_259"	"13563-259"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/13563_259_ACBD7_ACBD7.txt.gz"	"13563_259_ACBD7_ACBD7.txt.gz"	"ACBD7"	"ACBD7"	"ACBD7"	"ACBD7"	"acyl-CoA binding domain containing 7"	"Acyl-CoA-binding domain-containing protein 7"	"ACBD7"	"A6NCI2;B3KTG8;Q8N6N7"	"414149"	"ENSG00000176244"	"ENSG00000176244"	"10p13"	"10"	15077523	15088776	-1	15088776	3	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_10714_7"	"10714_7"	"10714-7"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/10714_7_ACE_ACE.txt.gz"	"10714_7_ACE_ACE.txt.gz"	"ACE"	"ACE"	"ACE"	"ACE"	"angiotensin I converting enzyme"	"Angiotensin-converting enzyme"	"ACE"	"A0A0A0MSN4;B0LPF0;B4DXI3;E7EU16;I3UJJ7;P12821;P22966;Q53YX9;Q59GY8;Q7M4L4;F6X3S4;L7MUH0;B4DXK6"	"1636"	"ENSG00000159640"	"ENSG00000159640"	"17q23.3"	"17"	63477061	63498380	1	63477061	13	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_2805_6"	"2805_6"	"2805-6"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/2805_6_ACE2_ACE2.txt.gz"	"2805_6_ACE2_ACE2.txt.gz"	"ACE2"	"ACE2"	"ACE2"	"ACE2"	"angiotensin converting enzyme 2"	"Angiotensin-converting enzyme 2"	"ACE2"	"A0A7D6JAD5;A0A8S0M502;B2RCJ5;C7ECU1;Q6UWP0;Q86WT0;Q9BYF1;Q9NRA7;Q9UFZ6;A0A7I2V2E9;A0A7I2V4H0"	"59272"	"ENSG00000130234"	"ENSG00000130234"	"Xp22.2"	"X"	15561033	15602148	-1	15602148	11	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_15553_22"	"15553_22"	"15553-22"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/15553_22_ACHE_ACES.txt.gz"	"15553_22_ACHE_ACES.txt.gz"	"ACHE"	"ACES"	"ACHE"	"ACHE"	"acetylcholinesterase (Yt blood group)"	"Acetylcholinesterase"	"ACHE"	"A4D2E2;B7ZKZ0;D6W5X7;P22303;Q16169;Q29S23;Q2M324;Q504V3;Q53F46;Q86TM9;Q86YX9;Q9BXP7"	"43"	"ENSG00000087085"	"ENSG00000087085"	"7q22.1"	"7"	100889994	100896974	-1	100896974	12	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_12700_9"	"12700_9"	"12700-9"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/12700_9_ACLY_ACLY.txt.gz"	"12700_9_ACLY_ACLY.txt.gz"	"ACLY"	"ACLY"	"ACLY"	"ACLY"	"ATP citrate lyase"	"ATP-citrate synthase"	"ACLY"	"B4DIM0;B4E3P0;P53396;Q13037;Q4LE36;Q9BRL0"	"47"	"ENSG00000131473"	"ENSG00000131473"	"17q21.2"	"17"	41866908	41930542	-1	41930542	6	1	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17675_17"	"17675_17"	"17675-17"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17675_17_ACOT13_ACO13.txt.gz"	"17675_17_ACOT13_ACO13.txt.gz"	"ACOT13"	"ACO13"	"ACOT13"	"ACOT13"	"acyl-CoA thioesterase 13"	"Acyl-coenzyme A thioesterase 13"	"ACOT13"	"Q9NPJ3;F5H2L4;O95549"	"55856"	"ENSG00000112304"	"ENSG00000112304"	"6p22.3"	"6"	24667035	24705065	1	24667035	3	1	"SomaScan.db + EnsDb.Hsapiens.v86"
