seqid	seqid_raw	probeid	sumstat_file	file_basename	parsed_symbol	parsed_alias	package_symbol	symbol	gene_name	target_full_name	gene_name_hg38	uniprot_ids	entrez_ids	ensembl_gene_ids	gene_id_hg38	cytoband	chromosome_hg38	gene_start_hg38	gene_end_hg38	strand_hg38	tss_hg38	n_somascan_rows	n_coord_rows	mapping_source
"SeqId_6715_63"	"6715_63"	"6715-63"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6715_63_ALPPL2_PPBN.txt.gz"	"6715_63_ALPPL2_PPBN.txt.gz"	"ALPPL2"	"PPBN"	"ALPG"	"ALPG"	"alkaline phosphatase, germ cell"	"Alkaline phosphatase, placental-like"	NA	"A8KAF2;B2R7C7;P10696;Q16727;Q53S81;Q96CM1"	"251"	"ENSG00000163286"	NA	"2q37.1"	NA	NA	NA	NA	NA	6	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_7148_42"	"7148_42"	"7148-42"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/7148_42_FAM173A_F173A.txt.gz"	"7148_42_FAM173A_F173A.txt.gz"	"FAM173A"	"F173A"	"ANTKMT"	"ANTKMT"	"adenine nucleotide translocase lysine methyltransferase"	"Protein FAM173A"	NA	"J3KMW5;A2IDD4;Q9BQD7"	"65990"	"ENSG00000103254"	NA	"16p13.3"	NA	NA	NA	NA	NA	3	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_5615_62"	"5615_62"	"5615-62"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/5615_62_FAM172A_F172A.txt.gz"	"5615_62_FAM172A_F172A.txt.gz"	"FAM172A"	"F172A"	"ARB2A"	"ARB2A"	"ARB2 cotranscriptional regulator A"	"Protein FAM172A"	NA	"Q8WUF8;B2R7C6;B4DJ14;B4DLG5;Q9H0U8;E9PBM2;B4DHJ0;B4DMI0"	"83989"	"ENSG00000113391"	NA	"5q15"	NA	NA	NA	NA	NA	8	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_4965_27"	"4965_27"	"4965-27"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/4965_27_ATP5B_ATP_synthase_beta_chain.txt.gz"	"4965_27_ATP5B_ATP_synthase_beta_chain.txt.gz"	"ATP5B"	"ATP_synthase_beta_chain"	"ATP5F1B"	"ATP5F1B"	"ATP synthase F1 subunit beta"	"ATP synthase subunit beta, mitochondrial"	NA	"A8K4X0;P06576;Q0QEN7;Q14283;V9HW31"	"506"	"ENSG00000110955"	NA	"12q13.3"	NA	NA	NA	NA	NA	5	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_11539_4"	"11539_4"	"11539-4"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/11539_4_ATP5J2_ATPK.txt.gz"	"11539_4_ATP5J2_ATPK.txt.gz"	"ATP5J2"	"ATPK"	"ATP5MF"	"ATP5MF"	"ATP synthase membrane subunit f"	"ATP synthase subunit f, mitochondrial"	NA	"Q53FE1;P56134;C9J8H9;F8W7V3;O76079;Q6IBB3;Q96L83;Q9BTI8"	"9551"	"ENSG00000241468"	NA	"7q22.1"	NA	NA	NA	NA	NA	8	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_7788_1"	"7788_1"	"7788-1"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/7788_1_ATP5J_CF6.txt.gz"	"7788_1_ATP5J_CF6.txt.gz"	"ATP5J"	"CF6"	"ATP5PF"	"ATP5PF"	"ATP synthase peripheral stalk subunit F6"	"ATP synthase-coupling factor 6, mitochondrial"	NA	"J3KQ83;P18859;Q6IB54;Q6NZ59"	"522"	"ENSG00000154723"	NA	"21q21.3"	NA	NA	NA	NA	NA	4	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_9202_309"	"9202_309"	"9202-309"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/9202_309_ATP5O_ATPO.txt.gz"	"9202_309_ATP5O_ATPO.txt.gz"	"ATP5O"	"ATPO"	"ATP5PO"	"ATP5PO"	"ATP synthase peripheral stalk subunit OSCP"	"ATP synthase subunit O, mitochondrial"	NA	"B2R4E2;P48047;Q53HH2;Q5U042;Q6IBI2"	"539"	"ENSG00000241837"	NA	"21q22.11"	NA	NA	NA	NA	NA	5	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6442_6"	"6442_6"	"6442-6"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6442_6_BAGE3_BAGE3.txt.gz"	"6442_6_BAGE3_BAGE3.txt.gz"	"BAGE3"	"BAGE3"	"BAGE3"	"BAGE3"	"BAGE family member 3"	"B melanoma antigen 3"	NA	"A8K925;Q08ER0;Q86Y29;Q86Y30"	"85318"	NA	NA	"21p11.2"	NA	NA	NA	NA	NA	4	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_9231_23"	"9231_23"	"9231-23"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/9231_23_IMPAD1_IMPA3.txt.gz"	"9231_23_IMPAD1_IMPA3.txt.gz"	"IMPAD1"	"IMPA3"	"BPNT2"	"BPNT2"	"3'(2'), 5'-bisphosphate nucleotidase 2"	"Inositol monophosphatase 3"	NA	"Q6NVY7;Q9NX62"	"54928"	"ENSG00000104331"	NA	"8q12.1"	NA	NA	NA	NA	NA	2	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_18267_74"	"18267_74"	"18267-74"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/18267_74_CARD17_CAR17.txt.gz"	"18267_74_CARD17_CAR17.txt.gz"	"CARD17"	"CAR17"	"CARD17P"	"CARD17P"	"caspase recruitment domain family member 17, pseudogene"	"Caspase recruitment domain-containing protein 17"	NA	NA	"440068"	NA	NA	"11q22.3"	NA	NA	NA	NA	NA	1	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_14098_28"	"14098_28"	"14098-28"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/14098_28_CARS_SYCC.txt.gz"	"14098_28_CARS_SYCC.txt.gz"	"CARS"	"SYCC"	"CARS1"	"CARS1"	"cysteinyl-tRNA synthetase 1"	"Cysteine--tRNA ligase, cytoplasmic"	NA	"B4DPV7;B4DKY1;E9PPK8;Q53HG6;A8MVQ3;B4DI19;P49589;Q53XI8;Q5HYE4;Q9HD24;Q9HD25;A8K067"	"833"	"ENSG00000110619;ENSG00000278191"	NA	"11p15.4"	NA	NA	NA	NA	NA	24	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_17672_184"	"17672_184"	"17672-184"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/17672_184_GIF_Gastric_intrinsic_factor.txt.gz"	"17672_184_GIF_Gastric_intrinsic_factor.txt.gz"	"GIF"	"Gastric_intrinsic_factor"	"CBLIF"	"CBLIF"	"cobalamin binding intrinsic factor"	"Gastric intrinsic factor"	NA	"B2RAN8;B4DVZ1;P27352"	"2694"	"ENSG00000134812"	NA	"11q12.1"	NA	NA	NA	NA	NA	3	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_2781_63"	"2781_63"	"2781-63"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/2781_63_CCL4L1_LAG_1.txt.gz"	"2781_63_CCL4L1_LAG_1.txt.gz"	"CCL4L1"	"LAG_1"	"CCL4L1"	"CCL4L1"	"C-C motif chemokine ligand 4 like 1"	"C-C motif chemokine 4-like"	NA	"B2RUZ3;B7ZMA8;B7ZW36;Q50EM1;Q50EM2;Q50EM3;Q50EM4;Q50EM5;Q50EM6;Q50EM7;Q50EM8;Q569J2;Q6NSB0;Q8NHW4"	"388372"	"ENSG00000282604;ENSG00000276070"	NA	"17q12"	NA	NA	NA	NA	NA	28	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6264_9"	"6264_9"	"6264-9"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6264_9_CYR61_CYR61.txt.gz"	"6264_9_CYR61_CYR61.txt.gz"	"CYR61"	"CYR61"	"CCN1"	"CCN1"	"cellular communication network factor 1"	"Protein CYR61"	NA	"D3DT19;O00622;O14934;O43775;Q53FA4;Q6FI18;Q9BZL7"	"3491"	"ENSG00000142871"	NA	"1p22.3"	NA	NA	NA	NA	NA	7	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_2975_19"	"2975_19"	"2975-19"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/2975_19_CTGF_CTGF.txt.gz"	"2975_19_CTGF_CTGF.txt.gz"	"CTGF"	"CTGF"	"CCN2"	"CCN2"	"cellular communication network factor 2"	"Connective tissue growth factor"	NA	"E1P578;P29279;Q5M8T4;Q6LCY0;Q96A79;Q96QX2;Q9UDL6"	"1490"	"ENSG00000118523"	NA	"6q23.2"	NA	NA	NA	NA	NA	7	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_2737_22"	"2737_22"	"2737-22"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/2737_22_NOV_NovH.txt.gz"	"2737_22_NOV_NovH.txt.gz"	"NOV"	"NovH"	"CCN3"	"CCN3"	"cellular communication network factor 3"	"Protein NOV homolog"	NA	"B2R5X7;B4DFW1;P48745;Q6I9S3;Q96BY5;Q9UDE4"	"4856"	"ENSG00000136999"	NA	"8q24.12"	NA	NA	NA	NA	NA	6	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_13692_154"	"13692_154"	"13692-154"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/13692_154_WISP1_WISP_1.txt.gz"	"13692_154_WISP1_WISP_1.txt.gz"	"WISP1"	"WISP_1"	"CCN4"	"CCN4"	"cellular communication network factor 4"	"WNT1-inducible-signaling pathway protein 1"	NA	"O95388;A8KAG6;B0AZN1;E7EMM5;Q5JBS6;Q5JBS7;Q5JBS8;Q9HCS3"	"8840"	"ENSG00000104415"	NA	"8q24.22"	NA	NA	NA	NA	NA	8	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_3057_55"	"3057_55"	"3057-55"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/3057_55_WISP1_WISP_1.txt.gz"	"3057_55_WISP1_WISP_1.txt.gz"	"WISP1"	"WISP_1"	"CCN4"	"CCN4"	"cellular communication network factor 4"	"WNT1-inducible-signaling pathway protein 1"	NA	"O95388;A8KAG6;B0AZN1;E7EMM5;Q5JBS6;Q5JBS7;Q5JBS8;Q9HCS3"	"8840"	"ENSG00000104415"	NA	"8q24.22"	NA	NA	NA	NA	NA	8	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6392_7"	"6392_7"	"6392-7"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6392_7_WISP2_WISP_2.txt.gz"	"6392_7_WISP2_WISP_2.txt.gz"	"WISP2"	"WISP_2"	"CCN5"	"CCN5"	"cellular communication network factor 5"	"WNT1-inducible-signaling pathway protein 2"	NA	"O76076;B2R9N4;E1P612;Q6PEG3"	"8839"	"ENSG00000064205"	NA	"20q13.12"	NA	NA	NA	NA	NA	4	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_5927_4"	"5927_4"	"5927-4"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/5927_4_WISP3_WISP_3.txt.gz"	"5927_4_WISP3_WISP_3.txt.gz"	"WISP3"	"WISP_3"	"CCN6"	"CCN6"	"cellular communication network factor 6"	"WNT1-inducible-signaling pathway protein 3"	NA	"A0A384NYW3;O95389;O95958;Q3KR29;Q5H8W4;Q6UXH6;Q3T1A9;G3V0J1"	"8838"	"ENSG00000112761"	NA	"6q21"	NA	NA	NA	NA	NA	8	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8992_1"	"8992_1"	"8992-1"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8992_1_TMEM2_TMEM2.txt.gz"	"8992_1_TMEM2_TMEM2.txt.gz"	"TMEM2"	"TMEM2"	"CEMIP2"	"CEMIP2"	"cell migration inducing hyaluronidase 2"	"Transmembrane protein 2"	NA	"Q9UHN6;A6H8W9;B2RTQ6;Q5T838;Q5T839;Q5T840;Q5T841;Q8NBP6;Q9P2D5"	"23670"	"ENSG00000135048"	NA	"9q21.13"	NA	NA	NA	NA	NA	9	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_13535_2"	"13535_2"	"13535-2"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/13535_2_COL4A3BP_C43BP.txt.gz"	"13535_2_COL4A3BP_C43BP.txt.gz"	"COL4A3BP"	"C43BP"	"CERT1"	"CERT1"	"ceramide transporter 1"	"Collagen type IV alpha-3-binding protein:PH domain"	NA	"Q9Y5P4;A0A2R8Y5S9;A8K7S2;B3KUB7;Q53YV1;Q53YV2;Q96Q85;Q96Q88;Q9H2S7;Q9H2S8;A0A2R8Y7C5;A0A2R8YE18"	"10087"	"ENSG00000113163"	NA	"5q13.3"	NA	NA	NA	NA	NA	12	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_13950_9"	"13950_9"	"13950-9"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/13950_9_COL4A3BP_C43BP.txt.gz"	"13950_9_COL4A3BP_C43BP.txt.gz"	"COL4A3BP"	"C43BP"	"CERT1"	"CERT1"	"ceramide transporter 1"	"Collagen type IV alpha-3-binding protein:StAR-related lipid-transfer domain, isoform 2"	NA	"Q9Y5P4;A0A2R8Y5S9;A8K7S2;B3KUB7;Q53YV1;Q53YV2;Q96Q85;Q96Q88;Q9H2S7;Q9H2S8;A0A2R8Y7C5;A0A2R8YE18"	"10087"	"ENSG00000113163"	NA	"5q13.3"	NA	NA	NA	NA	NA	12	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_9928_125"	"9928_125"	"9928-125"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/9928_125_LECT1_LECT1.txt.gz"	"9928_125_LECT1_LECT1.txt.gz"	"LECT1"	"LECT1"	"CNMD"	"CNMD"	"chondromodulin"	"Leukocyte cell-derived chemotaxin 1"	NA	"O75829;Q5TAM4;Q8TAY6;Q9UM18"	"11061"	"ENSG00000136110"	NA	"13q14.3"	NA	NA	NA	NA	NA	4	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_5810_25"	"5810_25"	"5810-25"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/5810_25_TDGF1_Cripto.txt.gz"	"5810_25_TDGF1_Cripto.txt.gz"	"TDGF1"	"Cripto"	"CRIPTO"	"CRIPTO"	"cripto, EGF-CFC family member"	"Teratocarcinoma-derived growth factor 1"	NA	"B2R8C7;F5H1T8;P13385;Q8TCC1"	"6997"	"ENSG00000241186"	NA	"3p21.31"	NA	NA	NA	NA	NA	4	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_19176_27"	"19176_27"	"19176-27"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/19176_27_FAM49B_FA49B.txt.gz"	"19176_27_FAM49B_FA49B.txt.gz"	"FAM49B"	"FA49B"	"CYRIB"	"CYRIB"	"CYFIP related Rac1 interactor B"	"Protein FAM49B"	NA	"Q68D08;Q96AZ5;Q9NUQ9;Q9NW21;Q9NZE7;A0A8V8TMP7;A0A024R9G4"	"51571"	"ENSG00000153310"	NA	"8q24.21"	NA	NA	NA	NA	NA	7	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_12675_14"	"12675_14"	"12675-14"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/12675_14_DARS_SYDC.txt.gz"	"12675_14_DARS_SYDC.txt.gz"	"DARS"	"SYDC"	"DARS1"	"DARS1"	"aspartyl-tRNA synthetase 1"	"Aspartate--tRNA ligase, cytoplasmic"	NA	"A0A140VJW5;A8K3J2;D3DP77;P14868;Q2TNI3;Q32Q69;Q53HV4;Q53YC5;Q68CR9;Q9BW52"	"1615"	"ENSG00000115866"	NA	"2q21.3"	NA	NA	NA	NA	NA	10	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_7178_59"	"7178_59"	"7178-59"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/7178_59_DEPP_DEPP.txt.gz"	"7178_59_DEPP_DEPP.txt.gz"	"DEPP"	"DEPP"	"DEPP1"	"DEPP1"	"DEPP autophagy regulator 1"	"Protein DEPP"	NA	"B2R6A1;O94997;Q5T735;Q76MX8;Q9NTK1"	"11067"	"ENSG00000165507"	NA	"10q11.21"	NA	NA	NA	NA	NA	5	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_14341_8"	"14341_8"	"14341-8"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/14341_8_FAM69C_FA69C.txt.gz"	"14341_8_FAM69C_FA69C.txt.gz"	"FAM69C"	"FA69C"	"DIPK1C"	"DIPK1C"	"divergent protein kinase domain 1C"	"Protein FAM69C"	NA	"Q0P6D2"	"125704"	"ENSG00000187773"	NA	"18q22.3"	NA	NA	NA	NA	NA	1	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6525_17"	"6525_17"	"6525-17"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6525_17_DUSP13_DUSP13.txt.gz"	"6525_17_DUSP13_DUSP13.txt.gz"	"DUSP13"	"DUSP13"	"DUSP13B"	"DUSP13B"	"dual specificity phosphatase 13B"	"Dual specificity protein phosphatase 13 isoform A"	NA	"U3KQA1;A0A9L9PXN7;A0A024QZR6;A8K776;A8K782;B3KPY1;B3KXT0;B4DUK0;Q5JSC6;Q6IAR0;Q96GC2;Q9UII6;U3KQ82"	"51207"	"ENSG00000079393;ENSG00000293542"	NA	"10q22.2"	NA	NA	NA	NA	NA	26	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_6362_6"	"6362_6"	"6362-6"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/6362_6_C2orf40_AUGN.txt.gz"	"6362_6_C2orf40_AUGN.txt.gz"	"C2orf40"	"AUGN"	"ECRG4"	"ECRG4"	"ECRG4 augurin precursor"	"Augurin"	NA	"D3DVK2;Q9H1Z8;B8ZZE5;C9JRR0"	"84417"	"ENSG00000119147"	NA	"2q12.2"	NA	NA	NA	NA	NA	4	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_10637_50"	"10637_50"	"10637-50"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/10637_50_KIAA1324_K1324.txt.gz"	"10637_50_KIAA1324_K1324.txt.gz"	"KIAA1324"	"K1324"	"ELAPOR1"	"ELAPOR1"	"endosome-lysosome associated apoptosis and autophagy regulator 1"	"UPF0577 protein KIAA1324:Extracellular domain"	NA	"E9PB18;Q6UXG2;B4DLZ2;B4DWM4;B4DMI7;Q08AE6;Q5T5C9;Q5T5D0;Q5T5D1;Q9P2M2"	"57535"	"ENSG00000116299"	NA	"1p13.3"	NA	NA	NA	NA	NA	10	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_9097_5"	"9097_5"	"9097-5"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/9097_5_KIAA1324_K1324.txt.gz"	"9097_5_KIAA1324_K1324.txt.gz"	"KIAA1324"	"K1324"	"ELAPOR1"	"ELAPOR1"	"endosome-lysosome associated apoptosis and autophagy regulator 1"	"UPF0577 protein KIAA1324:Cytoplasmic domain"	NA	"E9PB18;Q6UXG2;B4DLZ2;B4DWM4;B4DMI7;Q08AE6;Q5T5C9;Q5T5D0;Q5T5D1;Q9P2M2"	"57535"	"ENSG00000116299"	NA	"1p13.3"	NA	NA	NA	NA	NA	10	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
"SeqId_8363_18"	"8363_18"	"8363-18"	"/data/BB_Bioinformatics/ProjectData/DeCode_protein_sumstat/sumstats/8363_18_KIAA1324L_K132L.txt.gz"	"8363_18_KIAA1324L_K132L.txt.gz"	"KIAA1324L"	"K132L"	"ELAPOR2"	"ELAPOR2"	"endosome-lysosome associated apoptosis and autophagy regulator family member 2"	"UPF0577 protein KIAA1324-like"	NA	"A4D1C9;A8MWY0;B4DJV3;C9JA41;Q17RI6;Q96DP2;B4E116"	"222223"	"ENSG00000164659"	NA	"7q21.12"	NA	NA	NA	NA	NA	7	NA	"SomaScan.db + EnsDb.Hsapiens.v86"
