PROTEIN	GENE	CHR	START	END
SeqId_11510_31	APOL1	22	36253010	36253010
SeqId_11514_196	CD59	11	33717437	33717437
SeqId_11516_7	FABP1	2	88128041	88128041
SeqId_11530_37	HMBS	11	119084866	119084866
SeqId_11531_24	C10orf54	10	71757630	71757630
SeqId_11568_2	FKBP1B	2	24049701	24049701
SeqId_11608_5	MAP1LC3B	16	87383953	87383953
SeqId_11615_16	DAPP1	4	99816827	99816827
SeqId_11634_32	RGS10	10	119516488	119516488
SeqId_11636_33	TAGLN2	1	159923717	159923717
SeqId_11646_4	CHST9	18	27143038	27143038
SeqId_11649_3	SMAP1	6	70667776	70667776
SeqId_11656_110	EVL	14	99971449	99971449
SeqId_11659_31	CLINT1	5	157790561	157790561
SeqId_11664_32	ARFGAP2	11	47168503	47168503
SeqId_11681_8	AGFG1	2	227472152	227472152
SeqId_11683_19	GGA3	17	75238985	75238985
SeqId_11696_7	CRABP2	1	156705583	156705583
SeqId_11708_2	LCN1	9	135521438	135521438
SeqId_11955_1	ARHGAP1	11	46681516	46681516
SeqId_11969_5	S100A2	1	153563874	153563874
SeqId_12016_60	CBL	11	119206298	119206298
SeqId_12020_39	BPGM	7	134646811	134646811
SeqId_12333_87	RPIA	2	88691673	88691673
SeqId_12334_25	SHMT1	17	18333439	18333439
SeqId_12338_27	EGFLAM	5	38258409	38258409
SeqId_12340_17	AARS	16	70258215	70258215
SeqId_12347_29	CCM2	7	44999475	44999475
SeqId_12348_46	SARS2	19	38916046	38916046
SeqId_12356_65	SRI	7	88210493	88210493
SeqId_12370_30	APOF	12	56362857	56362857
SeqId_12374_8	PAFAH1B3	19	42302292	42302292
SeqId_12378_71	TAPBP	6	33313955	33313955
SeqId_12381_26	CBR1	21	36069941	36069941
SeqId_12382_2	DDX58	9	32526196	32526196
SeqId_12386_11	RNPEP	1	201982372	201982372
SeqId_12387_7	PDLIM4	5	132257696	132257696
SeqId_12395_86	DARS2	1	173824653	173824653
SeqId_12396_19	HIBCH	2	190205232	190205232
SeqId_12399_194	CCDC50	3	191329085	191329085
SeqId_12411_60	MAX	14	65101685	65101685
SeqId_12428_2	LYPLAL1	1	219173869	219173869
SeqId_12432_23	CACYBP	1	174999163	174999163
SeqId_12436_84	GSTO1	10	104235356	104235356
SeqId_12438_127	MPG	16	77007	77007
SeqId_12449_16	PPIH	1	42658423	42658423
SeqId_12459_13	PLEKHA1	10	122374696	122374696
SeqId_12469_19	MAPRE1	20	32819954	32819954
SeqId_12475_48	CLIC5	6	45937464	45937464
SeqId_12486_8	GLRX2	1	193105431	193105431
SeqId_12494_99	GABARAPL2	16	75566375	75566375
SeqId_12498_12	TAX1BP3	17	3668578	3668578
SeqId_12508_9	VPS24	2	86512535	86512535
SeqId_12517_52	PDCD5	19	32581190	32581190
SeqId_12522_6	RAD23B	9	107283137	107283137
SeqId_12524_18	SAT2	17	7627139	7627139
SeqId_12534_10	CALCOCO2	17	48830988	48830988
SeqId_12546_1	SMTN	22	31064105	31064105
SeqId_12549_33	HPGDS	4	94342836	94342836
SeqId_12558_3	UBASH3B	11	122655722	122655722
SeqId_12560_9	NT5C	17	75131048	75131048
SeqId_12563_2	TNFAIP8	5	119268692	119268692
SeqId_12569_25	CCT5	5	10249929	10249929
SeqId_12571_14	ARL3	10	102714397	102714397
SeqId_12573_80	TRIM3	11	6450391	6450391
SeqId_12575_30	MTHFD1	14	64388031	64388031
SeqId_12594_5	GCA	2	162318840	162318840
SeqId_12599_10	FERMT3	11	64206678	64206678
SeqId_12612_37	PSMB1	6	170550441	170550441
SeqId_12619_14	PPM1A	14	60245752	60245752
SeqId_12628_31	LANCL2	7	55365448	55365448
SeqId_12637_7	CRAT	9	129098036	129098036
SeqId_12641_3	INPP5B	1	37864849	37864849
SeqId_12643_4	ARRB1	11	75274938	75274938
SeqId_12646_2	RPE	2	210002565	210002565
SeqId_12652_37	AHCYL1	1	109984765	109984765
SeqId_12656_1	KLC1	14	103561896	103561896
SeqId_12659_13	OLA1	2	174079351	174079351
SeqId_12662_82	ECH1	19	38816270	38816270
SeqId_12675_14	DARS	2	135911617	135911617
SeqId_12677_164	FLII	17	18245968	18245968
SeqId_12682_5	CCBL2	1	88988355	88988355
SeqId_12684_5	SCIN	7	12570577	12570577
SeqId_12685_57	HOMER2	15	82849727	82849727
SeqId_12687_2	DECR1	8	90001405	90001405
SeqId_12691_44	SHMT2	12	57229573	57229573
SeqId_12697_30	PIP4K2A	10	22539635	22539635
SeqId_12703_6	NEK7	1	198156994	198156994
SeqId_12714_38	AP1G2	14	23560311	23560311
SeqId_12727_7	PTGFRN	1	116909916	116909916
SeqId_12731_12	PLEKHA7	11	16789857	16789857
SeqId_12812_25	ACYP2	2	53970838	53970838
SeqId_12831_21	TESC	12	117046831	117046831
SeqId_12859_33	ECI2	6	4133782	4133782
SeqId_12869_68	DDX6	11	118759369	118759369
SeqId_12893_159	IFI16	1	158999968	158999968
SeqId_12956_40	KIAA1279	10	68988721	68988721
SeqId_13044_5	TSG101	11	18481731	18481731
SeqId_13059_33	RFK	9	76393766	76393766
SeqId_13062_4	GMFG	19	39335531	39335531
SeqId_13082_9	UNC45A	15	90930180	90930180
SeqId_13088_397	BTC	4	74770156	74770156
SeqId_13090_17	S100A6	1	153535991	153535991
SeqId_13093_6	SECTM1	17	82328506	82328506
SeqId_13094_75	RSPO3	6	127118671	127118671
SeqId_13095_51	REG1A	2	79120362	79120362
SeqId_13102_1	FAM3D	3	58657696	58657696
SeqId_13107_9	LYPD3	19	43463963	43463963
SeqId_13109_82	NEGR1	1	71439838	71439838
SeqId_13112_179	FSTL1	3	120400089	120400089
SeqId_13113_7	SPP1	4	87975650	87975650
SeqId_13114_50	LUM	12	91111439	91111439
SeqId_13116_25	CD177	19	43353686	43353686
SeqId_13118_5	SMOC1	14	69854131	69854131
SeqId_13119_26	SERPINA10	14	94290648	94290648
SeqId_13122_19	FLRT2	14	85530144	85530144
SeqId_13123_3	FLRT3	20	14337608	14337608
SeqId_13124_20	ISLR2	15	74100311	74100311
SeqId_13125_45	VTN	17	28368937	28368937
SeqId_13126_52	DSC2	18	31102421	31102421
SeqId_13130_150	HK2	2	74834127	74834127
SeqId_13132_14	SEMA5A	5	9265545	9265545
SeqId_13133_73	LTBP4	19	40592883	40592883
SeqId_13242_134	SHANK3	22	50674415	50674415
SeqId_13381_49	B4GALT1	9	33167356	33167356
SeqId_13384_110	FH	1	241513676	241513676
SeqId_13388_57	PCSK1	5	96412985	96412985
SeqId_13405_61	SPINK2	4	56811796	56811796
SeqId_13416_8	TMEM132D	12	129086000	129086000
SeqId_13423_94	FAM213A	10	80407829	80407829
SeqId_13427_66	MAN1C1	1	25617468	25617468
SeqId_13450_49	USP8	15	50424380	50424380
SeqId_13460_4	CHAD	17	50465425	50465425
SeqId_13463_1	PXDN	2	1637064	1637064
SeqId_13465_5	RCAN1	21	34521583	34521583
SeqId_13472_35	HDHD2	18	47110856	47110856
SeqId_13481_24	TCEA2	20	64049836	64049836
SeqId_13488_3	ARFIP1	4	152779937	152779937
SeqId_13519_112	ARHGEF25	12	57610180	57610180
SeqId_13534_20	MYOM2	8	2045046	2045046
SeqId_13544_9	HMHA1	19	1065923	1065923
SeqId_13545_97	EIF1AD	11	66000482	66000482
SeqId_13552_7	SWAP70	11	9664077	9664077
SeqId_13575_40	DVL2	17	7227827	7227827
SeqId_13578_98	ABLIM3	5	149141483	149141483
SeqId_13590_1	REXO2	11	114439386	114439386
SeqId_13594_158	GGA1	22	37608725	37608725
SeqId_13615_60	NCK2	2	105744912	105744912
SeqId_13621_31	AP2A2	11	924894	924894
SeqId_13622_16	PPP2R5A	1	212285410	212285410
SeqId_13624_17	NADK	1	1754383	1754383
SeqId_13632_10	ZYX	7	143381295	143381295
SeqId_13657_2	PNKP	19	49860514	49860514
SeqId_13666_222	CA10	17	51747788	51747788
SeqId_13669_6	FGFR3	4	1793293	1793293
SeqId_13671_40	ELANE	19	851014	851014
SeqId_13676_46	INHBB	2	120346136	120346136
SeqId_13682_47	CSF1R	5	150054820	150054820
SeqId_13686_2	IL5RA	3	3109980	3109980
SeqId_13692_154	WISP1	8	133191039	133191039
SeqId_13697_51	GPD1	12	50103982	50103982
SeqId_13700_10	ANXA2	15	60351553	60351553
SeqId_13717_15	FCN2	9	134880810	134880810
SeqId_13719_19	PAK4	19	39125770	39125770
SeqId_13720_95	PRTN3	19	840999	840999
SeqId_13733_5	IL12B	5	159330487	159330487
SeqId_13738_8	INHBA	7	41692564	41692564
SeqId_13740_51	FRZB	2	182866637	182866637
SeqId_13748_4	CCL8	17	34319435	34319435
SeqId_13929_27	CROT	7	87345681	87345681
SeqId_13930_3	APOBEC3G	22	39077067	39077067
SeqId_13931_22	PSMD9	12	121888732	121888732
SeqId_13940_19	IFI16	1	158999968	158999968
SeqId_13943_38	DPY30	2	32023757	32023757
SeqId_13944_3	SULT1A3	16	30199228	30199228
SeqId_13947_371	NUDT12	5	103556089	103556089
SeqId_13950_9	COL4A3BP	5	75369337	75369337
SeqId_13954_9	GNPNAT1	14	52777081	52777081
SeqId_13959_7	LAP3	4	17577192	17577192
SeqId_13963_7	TOLLIP	11	1292170	1292170
SeqId_13967_14	TXNRD1	12	104215779	104215779
SeqId_13969_24	KPNA6	1	32108056	32108056
SeqId_13972_4	HSD17B14	19	48815072	48815072
SeqId_13975_56	PPFIA1	11	70270700	70270700
SeqId_13983_27	CRYZ	1	74708827	74708827
SeqId_13986_6	LANCL1	2	210440745	210440745
SeqId_13988_67	NMRAL1	16	4464240	4464240
SeqId_13998_26	ADSSL1	14	104724186	104724186
SeqId_14006_36	GNMT	6	42960754	42960754
SeqId_14009_65	TNFAIP3	6	137867214	137867214
SeqId_14047_78	BDNF	11	27659658	27659658
SeqId_14048_7	IL1RAP	3	190514051	190514051
SeqId_14054_17	IL15RA	10	5960567	5960567
SeqId_14067_6	PKP2	12	32792875	32792875
SeqId_14076_74	CST4	20	23689040	23689040
SeqId_14079_14	IL18R1	2	102311529	102311529
SeqId_14083_25	SEPHS1	10	13340790	13340790
SeqId_14088_38	IGFBP6	12	53097436	53097436
SeqId_14090_23	DEF6	6	35297818	35297818
SeqId_14091_42	CBR3	21	36135079	36135079
SeqId_14094_29	HBEGF	5	140335130	140335130
SeqId_14098_28	CARS	11	3007010	3007010
SeqId_14100_63	C1QC	1	22643633	22643633
SeqId_14101_2	CNTFR	9	34589706	34589706
SeqId_14107_1	MTHFS	15	79845327	79845327
SeqId_14111_15	THBS2	6	169223440	169223440
SeqId_14112_40	RELT	11	73376399	73376399
SeqId_14114_18	PIANP	12	6698306	6698306
SeqId_14116_129	S100A4	1	153545063	153545063
SeqId_14121_24	TNFRSF10D	8	23164027	23164027
SeqId_14123_34	C10orf54	10	71757630	71757630
SeqId_14131_37	EFNB2	13	106516447	106516447
SeqId_14133_93	IL1R2	2	101991960	101991960
SeqId_14134_49	AMIGO2	12	47079642	47079642
SeqId_14136_234	CD93	20	23086324	23086324
SeqId_14139_16	NRG4	15	75942772	75942772
SeqId_14151_4	ISG15	1	1001138	1001138
SeqId_14153_8	EFNA3	1	155078837	155078837
SeqId_14156_33	YWHAB	20	44885702	44885702
SeqId_14158_17	ANXA5	4	121672558	121672558
SeqId_14203_3	ANXA7	10	73378958	73378958
SeqId_14208_3	RBP7	1	9997206	9997206
SeqId_14246_50	DOK2	8	21911075	21911075
SeqId_14271_23	RAB6B	3	133894719	133894719
SeqId_14273_19	PREP	6	105323768	105323768
SeqId_14618_26	VOPP1	7	55516077	55516077
SeqId_14623_26	SUMO3	21	44817968	44817968
SeqId_14631_22	DUSP16	12	12506187	12506187
SeqId_14636_25	HRSP12	8	98106631	98106631
SeqId_14655_1	DNAJC17	15	40770289	40770289
SeqId_14675_20	EIF4B	12	53006158	53006158
SeqId_14684_17	CAPN2	1	223701593	223701593
SeqId_14688_6	PTPN7	1	202158569	202158569
SeqId_14708_59	C8G	9	136945185	136945185
SeqId_14711_27	CST6	11	66012008	66012008
SeqId_14747_9	CRLF1	19	18594134	18594134
SeqId_15299_102	MESDC2	15	80978813	80978813
SeqId_15300_66	CCDC134	22	41800679	41800679
SeqId_15304_1	REG3A	2	79159744	79159744
SeqId_15308_108	VWC2	7	49773638	49773638
SeqId_15314_49	CLIC4	1	24745382	24745382
SeqId_15316_262	TXNL4B	16	72093552	72093552
SeqId_15321_8	CPLX2	5	175796310	175796310
SeqId_15322_35	CRADD	12	93677375	93677375
SeqId_15326_64	GBP1	1	89055341	89055341
SeqId_15336_7	SELM	22	31105764	31105764
SeqId_15343_337	KNG1	3	186717348	186717348
SeqId_15363_32	APOA5	11	116791871	116791871
SeqId_15364_101	APOC1	19	44914247	44914247
SeqId_15367_38	BPIFB1	20	33273480	33273480
SeqId_15368_3	BMPER	7	33904308	33904308
SeqId_15370_5	BOLA1	1	149887890	149887890
SeqId_15372_43	BRD2	6	32968594	32968594
SeqId_15375_49	CPB1	3	148791102	148791102
SeqId_15384_15	KL	13	33016423	33016423
SeqId_15385_116	FABP2	4	119322138	119322138
SeqId_15386_7	FABP4	8	81479970	81479970
SeqId_15387_44	NRP2	2	205681990	205681990
SeqId_15388_24	FCGR3A	1	161549730	161549730
SeqId_15391_114	GAS6	13	113823194	113823194
SeqId_15394_79	UNC5B	10	71212570	71212570
SeqId_15395_15	GSTM1	1	109687814	109687814
SeqId_15414_316	LDHA	11	18394560	18394560
SeqId_15417_3	SERPINB5	18	63476958	63476958
SeqId_15427_35	LOXL3	2	74549459	74549459
SeqId_15433_4	SRC	20	37344685	37344685
SeqId_15435_4	PNP	14	20468954	20468954
SeqId_15439_21	RND3	2	150471960	150471960
SeqId_15440_57	PCSK2	20	17226107	17226107
SeqId_15441_6	GM2A	5	151212150	151212150
SeqId_15447_45	SORD	15	45023181	45023181
SeqId_15449_33	TIMD4	5	156935676	156935676
SeqId_15452_5	NT5E	6	85449584	85449584
SeqId_15453_3	AMBP	9	114074969	114074969
SeqId_15457_14	ANPEP	15	89793187	89793187
SeqId_15460_9	DPP4	2	162014462	162014462
SeqId_15462_28	CD8A	2	86790825	86790825
SeqId_15466_30	COL9A1	6	70246303	70246303
SeqId_15468_14	CFHR1	1	196819757	196819757
SeqId_15470_11	HEXB	5	74640023	74640023
SeqId_15471_29	PNLIPRP2	10	116620953	116620953
SeqId_15472_16	LRP11	6	149836199	149836199
SeqId_15474_7	PIN1	19	9835257	9835257
SeqId_15475_4	PLTP	20	45910937	45910937
SeqId_15476_6	REG3G	2	79025686	79025686
SeqId_15480_2	VNN2	6	132757873	132757873
SeqId_15483_377	AGRN	1	1020120	1020120
SeqId_15486_126	AOC1	7	150824627	150824627
SeqId_15487_164	CES1	16	55810655	55810655
SeqId_15491_20	CD248	11	66317044	66317044
SeqId_15492_1	CRIM1	2	36355778	36355778
SeqId_15494_11	FGFBP1	4	15938740	15938740
SeqId_15495_9	FOLR3	11	72114869	72114869
SeqId_15499_11	ATRN	20	3471018	3471018
SeqId_15503_15	LEFTY2	1	225940101	225940101
SeqId_15503_20	LEFTY2	1	225940101	225940101
SeqId_15509_2	NAGLU	17	42536241	42536241
SeqId_15511_37	NPTXR	22	38843858	38843858
SeqId_15513_108	PRSS8	16	31135640	31135640
SeqId_15514_26	BCHE	3	165837420	165837420
SeqId_15515_2	SAA1	11	18266260	18266260
SeqId_15516_12	SAA4	11	18236802	18236802
SeqId_15521_4	CLSTN1	1	9733486	9733486
SeqId_15522_2	GLIPR2	9	36136536	36136536
SeqId_15523_9	ALAD	9	113392555	113392555
SeqId_15524_30	PGAM2	7	44065567	44065567
SeqId_15525_294	ADH1C	4	99352730	99352730
SeqId_15526_33	GSS	20	34931583	34931583
SeqId_15527_90	DLD	7	107891162	107891162
SeqId_15529_33	CSRP1	1	201492499	201492499
SeqId_15530_33	EPHB4	7	100807579	100807579
SeqId_15533_97	MSR1	8	16164251	16164251
SeqId_15534_26	MDH2	7	76048051	76048051
SeqId_15535_3	PRSS27	16	2715565	2715565
SeqId_15539_15	SLITRK1	13	83882393	83882393
SeqId_15540_6	VIM	10	17228241	17228241
SeqId_15542_19	CKMT1A	15	43593054	43593054
SeqId_15544_25	KLK14	19	51082886	51082886
SeqId_15556_49	AMY2B	1	103553815	103553815
SeqId_15558_63	ENPEP	4	110365733	110365733
SeqId_15559_5	ANTXR2	4	79964890	79964890
SeqId_15560_52	TCN2	22	30607003	30607003
SeqId_15562_24	GUSB	7	65967908	65967908
SeqId_15565_102	MUC16	19	8867014	8867014
SeqId_15566_10	CNN1	19	11538767	11538767
SeqId_15570_99	CR2	1	207454230	207454230
SeqId_15573_110	NCAN	19	19211958	19211958
SeqId_15576_158	RNASE3	14	20891399	20891399
SeqId_15579_26	ENPP6	4	184117821	184117821
SeqId_15582_25	FCN1	9	134917877	134917877
SeqId_15583_18	FCRLB	1	161721563	161721563
SeqId_15584_9	CFHR2	1	196943738	196943738
SeqId_15585_304	FBLN5	14	91874816	91874816
SeqId_15587_20	FOLR2	11	72216601	72216601
SeqId_15589_1	GC	4	71754478	71754478
SeqId_15591_28	GPX1	3	49358278	49358278
SeqId_15594_47	HTRA1	10	122458551	122458551
SeqId_15596_7	HEXIM1	17	45148502	45148502
SeqId_15602_43	IL6R	1	154405193	154405193
SeqId_15603_20	ITGA2	5	52989340	52989340
SeqId_15604_18	MAPK9	5	180242900	180242900
SeqId_15610_72	LAP3	4	17577192	17577192
SeqId_15612_5	LIN7B	19	49114324	49114324
SeqId_15614_168	LILRA2	19	54572920	54572920
SeqId_15615_8	LILRB3	19	54217698	54217698
SeqId_15617_8	XCL2	1	168543997	168543997
SeqId_15620_4	NLGN1	3	173396284	173396284
SeqId_15626_223	HSPG2	1	21824266	21824266
SeqId_15627_83	AKT1	14	104772963	104772963
SeqId_15631_18	PSG1	19	42870645	42870645
SeqId_15633_6	RBP4	10	93601235	93601235
SeqId_15635_4	SMOC2	6	168441151	168441151
SeqId_15636_49	SORCS1	10	106607218	106607218
SeqId_15640_54	TAGLN	11	117199370	117199370
SeqId_15641_20	TMEFF1	9	100473149	100473149
SeqId_15644_1	BTD	3	15601341	15601341
SeqId_15653_9	COL10A1	6	116125900	116125900
SeqId_15668_19	BMP8B	1	39788865	39788865
SeqId_15678_71	DKK2	4	107035812	107035812
SeqId_15686_49	INHBC	12	57434784	57434784
SeqId_16015_19	GPT	8	144502973	144502973
SeqId_16035_8	FLT4	5	180611716	180611716
SeqId_16055_3	CFHR5	1	196977556	196977556
SeqId_16057_6	IGF2R	6	159969099	159969099
SeqId_16060_99	NID2	14	52007924	52007924
SeqId_16070_7	WIF1	12	65066659	65066659
SeqId_16079_2	TEC	4	48141683	48141683
SeqId_16288_17	EPHA4	2	221425540	221425540
SeqId_16296_43	LGR5	12	71439798	71439798
SeqId_16300_4	TREM2	6	41163103	41163103
SeqId_16302_11	BPIFA2	20	33161768	33161768
SeqId_16304_6	LGR4	11	27374000	27374000
SeqId_16307_22	UNC5D	8	35235475	35235475
SeqId_16309_30	DKKL1	19	49361783	49361783
SeqId_16318_12	ACVRL1	12	51906908	51906908
SeqId_16322_10	PACAP	5	139388762	139388762
SeqId_16324_38	TLR1	4	38794633	38794633
SeqId_16558_2	MYOC	1	171652629	171652629
SeqId_16561_9	A1BG	19	58347634	58347634
SeqId_16583_8	NUDT2	9	34329506	34329506
SeqId_16594_44	FAIM	3	138608606	138608606
SeqId_16596_25	GLRX3	10	130136391	130136391
SeqId_16605_2	C1QTNF9	13	24307166	24307166
SeqId_16606_85	AKR1B1	7	134448024	134448024
SeqId_16607_78	GSN	9	121207794	121207794
SeqId_16609_106	KIRREL2	19	35855861	35855861
SeqId_16610_13	LRP10	14	22871740	22871740
SeqId_16613_3	CDH17	8	94162128	94162128
SeqId_16614_27	RSPO1	1	37634616	37634616
SeqId_16616_137	ENO3	17	4948092	4948092
SeqId_16620_26	LY75	2	159904649	159904649
SeqId_16621_77	APOA1BP	1	156591762	156591762
SeqId_16751_15	NPPB	1	11858945	11858945
SeqId_16753_46	COL6A2	21	46098112	46098112
SeqId_16758_96	HDGF	1	156744276	156744276
SeqId_16763_11	LECT2	5	135953116	135953116
SeqId_16765_52	PPBP	4	73988190	73988190
SeqId_16770_3	REG1B	2	79086847	79086847
SeqId_16773_29	SCUBE3	6	35213956	35213956
SeqId_16781_2	ENGASE	17	79074939	79074939
SeqId_16792_4	SIGLEC5	19	51645545	51645545
SeqId_16805_5	PDE5A	4	119505935	119505935
SeqId_16809_1	NME4	16	396725	396725
SeqId_16818_200	CDCP1	3	45139595	45139595
SeqId_16823_75	APOL3	22	36149126	36149126
SeqId_16825_20	ATXN3	14	92048065	92048065
SeqId_16828_8	COL6A1	21	45981769	45981769
SeqId_16851_50	SCO2	22	50525604	50525604
SeqId_16856_79	MAPRE2	18	34976928	34976928
SeqId_16872_248	GSTZ1	14	77320996	77320996
SeqId_16882_27	PHPT1	9	136848724	136848724
SeqId_16890_37	ADAMTSL1	9	17906563	17906563
SeqId_16892_23	ENPP2	8	119578485	119578485
SeqId_16900_29	MDGA1	6	37639824	37639824
SeqId_16907_3	CADM2	3	84958981	84958981
SeqId_16908_5	OMG	17	31273622	31273622
SeqId_16913_8	RNASET2	6	166933049	166933049
SeqId_16914_104	CD14	5	140633175	140633175
SeqId_16915_153	SEMA4A	1	156147366	156147366
SeqId_16916_19	SLITRK6	13	85799419	85799419
SeqId_16918_198	TLR3	4	186069152	186069152
SeqId_16919_1	DBI	2	119366921	119366921
SeqId_17138_8	GSTA1	6	52799297	52799297
SeqId_17140_57	PDGFD	11	104037026	104037026
SeqId_17148_7	BLVRB	19	40458457	40458457
