protein	gene	uniprot	sumstat_file	chr	tss	resource_source
SeqId_10041_3	HNF4A	P41235	/data/Dutta_lab/aric/EA/SeqId_10041_3.PHENO1.glm.linear	20	44355700	ARIC
SeqId_10042_8	SGK3	Q96BR1	/data/Dutta_lab/aric/EA/SeqId_10042_8.PHENO1.glm.linear	8	66667552	ARIC
SeqId_10043_31	BRD4	O60885	/data/Dutta_lab/aric/EA/SeqId_10043_31.PHENO1.glm.linear	19	15246618	ARIC
SeqId_10044_12	WNT10A	Q9GZT5	/data/Dutta_lab/aric/EA/SeqId_10044_12.PHENO1.glm.linear	2	218880852	ARIC
SeqId_10045_47	CUL3	Q13618	/data/Dutta_lab/aric/EA/SeqId_10045_47.PHENO1.glm.linear	2	224480124	ARIC
SeqId_10046_55	BIRC2	Q13490	/data/Dutta_lab/aric/EA/SeqId_10046_55.PHENO1.glm.linear	11	102347211	ARIC
SeqId_10047_12	NCF2	P19878	/data/Dutta_lab/aric/EA/SeqId_10047_12.PHENO1.glm.linear	1	183564051	ARIC
SeqId_10048_7	CBFB	Q13951	/data/Dutta_lab/aric/EA/SeqId_10048_7.PHENO1.glm.linear	16	67028984	ARIC
SeqId_10049_112	TERF1	P54274	/data/Dutta_lab/aric/EA/SeqId_10049_112.PHENO1.glm.linear	8	73008864	ARIC
SeqId_10053_5	ILK	Q13418	/data/Dutta_lab/aric/EA/SeqId_10053_5.PHENO1.glm.linear	11	6603708	ARIC
SeqId_10054_3	GAN	Q9H2C0	/data/Dutta_lab/aric/EA/SeqId_10054_3.PHENO1.glm.linear	16	81314966	ARIC
SeqId_10056_5	FOXM1	Q08050	/data/Dutta_lab/aric/EA/SeqId_10056_5.PHENO1.glm.linear	12	2864710	ARIC
SeqId_10058_1	RAD23A	P54725	/data/Dutta_lab/aric/EA/SeqId_10058_1.PHENO1.glm.linear	19	12945855	ARIC
SeqId_10063_10	FANCL	Q9NW38	/data/Dutta_lab/aric/EA/SeqId_10063_10.PHENO1.glm.linear	2	58165803	ARIC
SeqId_10064_12	RBBP9	O75884	/data/Dutta_lab/aric/EA/SeqId_10064_12.PHENO1.glm.linear	20	18497174	ARIC
SeqId_10070_22	PLCG2	P16885	/data/Dutta_lab/aric/EA/SeqId_10070_22.PHENO1.glm.linear	16	81739097	ARIC
SeqId_10073_22	TDP1	Q9NUW8	/data/Dutta_lab/aric/EA/SeqId_10073_22.PHENO1.glm.linear	14	89954939	ARIC
SeqId_10074_128	BRD2	P25440	/data/Dutta_lab/aric/EA/SeqId_10074_128.PHENO1.glm.linear	6	32968594	ARIC
SeqId_10075_75	ACBD6	Q9BR61	/data/Dutta_lab/aric/EA/SeqId_10075_75.PHENO1.glm.linear	1	180274681	ARIC
SeqId_10076_1	AP4M1	O00189	/data/Dutta_lab/aric/EA/SeqId_10076_1.PHENO1.glm.linear	7	100101549	ARIC
SeqId_10078_5	BAG3	O95817	/data/Dutta_lab/aric/EA/SeqId_10078_5.PHENO1.glm.linear	10	119651370	ARIC
SeqId_10080_9	EIF2B1	Q14232	/data/Dutta_lab/aric/EA/SeqId_10080_9.PHENO1.glm.linear	12	123632447	ARIC
SeqId_10081_17	SATB2	Q9UPW6	/data/Dutta_lab/aric/EA/SeqId_10081_17.PHENO1.glm.linear	2	199329035	ARIC
SeqId_10082_251	NEFL	P07196	/data/Dutta_lab/aric/EA/SeqId_10082_251.PHENO1.glm.linear	8	24956515	ARIC
SeqId_10085_25	STAR	P49675	/data/Dutta_lab/aric/EA/SeqId_10085_25.PHENO1.glm.linear	8	38148754	ARIC
SeqId_10086_39	CBS	P35520	/data/Dutta_lab/aric/EA/SeqId_10086_39.PHENO1.glm.linear	21	43058941	ARIC
SeqId_10087_10	CRYAA	P02489	/data/Dutta_lab/aric/EA/SeqId_10087_10.PHENO1.glm.linear	21	43169008	ARIC
SeqId_10088_37	APRT	P07741	/data/Dutta_lab/aric/EA/SeqId_10088_37.PHENO1.glm.linear	16	88810268	ARIC
SeqId_10336_3	STUB1	Q9UNE7	/data/Dutta_lab/aric/EA/SeqId_10336_3.PHENO1.glm.linear	16	680224	ARIC
SeqId_10339_48	ENO2	P09104	/data/Dutta_lab/aric/EA/SeqId_10339_48.PHENO1.glm.linear	12	6913745	ARIC
SeqId_10342_55	PIAS4	Q8N2W9	/data/Dutta_lab/aric/EA/SeqId_10342_55.PHENO1.glm.linear	19	4007736	ARIC
SeqId_10344_334	IL10RA	Q13651	/data/Dutta_lab/aric/EA/SeqId_10344_334.PHENO1.glm.linear	11	117986348	ARIC
SeqId_10346_5	STAT3	P40763	/data/Dutta_lab/aric/EA/SeqId_10346_5.PHENO1.glm.linear	17	42316853	ARIC
SeqId_10356_21	JUN	P05412	/data/Dutta_lab/aric/EA/SeqId_10356_21.PHENO1.glm.linear	1	58784047	ARIC
SeqId_10361_25	OAS1	P00973	/data/Dutta_lab/aric/EA/SeqId_10361_25.PHENO1.glm.linear	12	112906783	ARIC
SeqId_10362_35	MYC	P01106	/data/Dutta_lab/aric/EA/SeqId_10362_35.PHENO1.glm.linear	8	127735434	ARIC
SeqId_10363_13	SMAD3	P84022	/data/Dutta_lab/aric/EA/SeqId_10363_13.PHENO1.glm.linear	15	67063763	ARIC
SeqId_10364_6	SMAD2	Q15796	/data/Dutta_lab/aric/EA/SeqId_10364_6.PHENO1.glm.linear	18	47886923	ARIC
SeqId_10366_11	PDGFRA	P16234	/data/Dutta_lab/aric/EA/SeqId_10366_11.PHENO1.glm.linear	4	54229280	ARIC
SeqId_10370_21	STAT1	P42224	/data/Dutta_lab/aric/EA/SeqId_10370_21.PHENO1.glm.linear	2	190980233	ARIC
SeqId_10372_18	STAT6	P42226	/data/Dutta_lab/aric/EA/SeqId_10372_18.PHENO1.glm.linear	12	57097290	ARIC
SeqId_10390_21	ZNRF3	Q9ULT6	/data/Dutta_lab/aric/EA/SeqId_10390_21.PHENO1.glm.linear	22	28883572	ARIC
SeqId_10391_1	ANGPTL3	Q9Y5C1	/data/Dutta_lab/aric/EA/SeqId_10391_1.PHENO1.glm.linear	1	62597520	ARIC
SeqId_10396_6	MCL1	Q07820	/data/Dutta_lab/aric/EA/SeqId_10396_6.PHENO1.glm.linear	1	150578777	ARIC
SeqId_10418_36	STX12	Q86Y82	/data/Dutta_lab/aric/EA/SeqId_10418_36.PHENO1.glm.linear	1	27773219	ARIC
SeqId_10419_1	SCARA5	Q6ZMJ2	/data/Dutta_lab/aric/EA/SeqId_10419_1.PHENO1.glm.linear	8	27987615	ARIC
SeqId_10424_31	NPDC1	Q9NQX5	/data/Dutta_lab/aric/EA/SeqId_10424_31.PHENO1.glm.linear	9	137040156	ARIC
SeqId_10425_3	B4GALT5	O43286	/data/Dutta_lab/aric/EA/SeqId_10425_3.PHENO1.glm.linear	20	49713878	ARIC
SeqId_10430_31	SLC3A2	P08195	/data/Dutta_lab/aric/EA/SeqId_10430_31.PHENO1.glm.linear	11	62856102	ARIC
SeqId_10432_3	KIAA1644	Q3SXP7	/data/Dutta_lab/aric/EA/SeqId_10432_3.PHENO1.glm.linear	22	44312951	ARIC
SeqId_10435_2	AGA	P20933	/data/Dutta_lab/aric/EA/SeqId_10435_2.PHENO1.glm.linear	4	177439624	ARIC
SeqId_10440_26	CLMP	Q9H6B4	/data/Dutta_lab/aric/EA/SeqId_10440_26.PHENO1.glm.linear	11	123083736	ARIC
SeqId_10442_1	TMEM190	Q8WZ59	/data/Dutta_lab/aric/EA/SeqId_10442_1.PHENO1.glm.linear	19	55376826	ARIC
SeqId_10445_20	APOM	O95445	/data/Dutta_lab/aric/EA/SeqId_10445_20.PHENO1.glm.linear	6	31652416	ARIC
SeqId_10447_18	PABPC3	Q9H361	/data/Dutta_lab/aric/EA/SeqId_10447_18.PHENO1.glm.linear	13	25095868	ARIC
SeqId_10449_31	SHISA2	Q6UWI4	/data/Dutta_lab/aric/EA/SeqId_10449_31.PHENO1.glm.linear	13	26051031	ARIC
SeqId_10451_11	NUCB1	Q02818	/data/Dutta_lab/aric/EA/SeqId_10451_11.PHENO1.glm.linear	19	48900312	ARIC
SeqId_10453_7	CEACAM20	Q6UY09	/data/Dutta_lab/aric/EA/SeqId_10453_7.PHENO1.glm.linear	19	44529525	ARIC
SeqId_10454_99	DNAJC16	Q9Y2G8	/data/Dutta_lab/aric/EA/SeqId_10454_99.PHENO1.glm.linear	1	15526813	ARIC
SeqId_10455_196	IL31	Q6EBC2	/data/Dutta_lab/aric/EA/SeqId_10455_196.PHENO1.glm.linear	12	122174221	ARIC
SeqId_10462_14	INSL5	Q9Y5Q6	/data/Dutta_lab/aric/EA/SeqId_10462_14.PHENO1.glm.linear	1	66801256	ARIC
SeqId_10464_6	ANTXR1	Q9H6X2	/data/Dutta_lab/aric/EA/SeqId_10464_6.PHENO1.glm.linear	2	69013178	ARIC
SeqId_10490_3	RPN1	P04843	/data/Dutta_lab/aric/EA/SeqId_10490_3.PHENO1.glm.linear	3	128627266	ARIC
SeqId_10496_11	CLCA1	A8K7I4	/data/Dutta_lab/aric/EA/SeqId_10496_11.PHENO1.glm.linear	1	86468368	ARIC
SeqId_10499_1	TMEM106A	Q96A25	/data/Dutta_lab/aric/EA/SeqId_10499_1.PHENO1.glm.linear	17	43211835	ARIC
SeqId_10506_53	PGRMC2	O15173	/data/Dutta_lab/aric/EA/SeqId_10506_53.PHENO1.glm.linear	4	128273061	ARIC
SeqId_10507_166	ACRV1	P26436	/data/Dutta_lab/aric/EA/SeqId_10507_166.PHENO1.glm.linear	11	125680831	ARIC
SeqId_10510_62	SCIMP	Q6UWF3	/data/Dutta_lab/aric/EA/SeqId_10510_62.PHENO1.glm.linear	17	5234823	ARIC
SeqId_10512_13	CSF2RB	P32927	/data/Dutta_lab/aric/EA/SeqId_10512_13.PHENO1.glm.linear	22	36913628	ARIC
SeqId_10513_13	KCNIP3	Q9Y2W7	/data/Dutta_lab/aric/EA/SeqId_10513_13.PHENO1.glm.linear	2	95297327	ARIC
SeqId_10514_5	PTGDS	P41222	/data/Dutta_lab/aric/EA/SeqId_10514_5.PHENO1.glm.linear	9	136975092	ARIC
SeqId_10521_10	MXRA8	Q9BRK3	/data/Dutta_lab/aric/EA/SeqId_10521_10.PHENO1.glm.linear	1	1354247	ARIC
SeqId_10527_22	DHX9	Q08211	/data/Dutta_lab/aric/EA/SeqId_10527_22.PHENO1.glm.linear	1	182839347	ARIC
SeqId_10530_8	PSMB6	P28072	/data/Dutta_lab/aric/EA/SeqId_10530_8.PHENO1.glm.linear	17	4796144	ARIC
SeqId_10531_18	NRAS	P01111	/data/Dutta_lab/aric/EA/SeqId_10531_18.PHENO1.glm.linear	1	114716771	ARIC
SeqId_10534_40	PARP1	P09874	/data/Dutta_lab/aric/EA/SeqId_10534_40.PHENO1.glm.linear	1	226362252	ARIC
SeqId_10535_25	COX6A2	Q02221	/data/Dutta_lab/aric/EA/SeqId_10535_25.PHENO1.glm.linear	16	31428285	ARIC
SeqId_10546_2	TSPEAR	Q8WU66	/data/Dutta_lab/aric/EA/SeqId_10546_2.PHENO1.glm.linear	21	44573816	ARIC
SeqId_10550_37	BMPR1B	O00238	/data/Dutta_lab/aric/EA/SeqId_10550_37.PHENO1.glm.linear	4	94757955	ARIC
SeqId_10551_7	LAT	O43561	/data/Dutta_lab/aric/EA/SeqId_10551_7.PHENO1.glm.linear	16	28984826	ARIC
SeqId_10552_88	KLRC4	O43908	/data/Dutta_lab/aric/EA/SeqId_10552_88.PHENO1.glm.linear	12	10409757	ARIC
SeqId_10553_8	TOR1AIP2	Q8NFQ8	/data/Dutta_lab/aric/EA/SeqId_10553_8.PHENO1.glm.linear	1	179877772	ARIC
SeqId_10557_6	TEX29	Q8N6K0	/data/Dutta_lab/aric/EA/SeqId_10557_6.PHENO1.glm.linear	13	111316184	ARIC
SeqId_10558_26	PCDH9	Q9HC56	/data/Dutta_lab/aric/EA/SeqId_10558_26.PHENO1.glm.linear	13	66306309	ARIC
SeqId_10560_1	ITM2C	Q9NQX7	/data/Dutta_lab/aric/EA/SeqId_10560_1.PHENO1.glm.linear	2	230864639	ARIC
SeqId_10561_5	PGLYRP3	Q96LB9	/data/Dutta_lab/aric/EA/SeqId_10561_5.PHENO1.glm.linear	1	153310718	ARIC
SeqId_10562_42	NETO2	Q8NC67	/data/Dutta_lab/aric/EA/SeqId_10562_42.PHENO1.glm.linear	16	47109634	ARIC
SeqId_10563_13	LYSMD3	Q7Z3D4	/data/Dutta_lab/aric/EA/SeqId_10563_13.PHENO1.glm.linear	5	90529561	ARIC
SeqId_10565_19	SLITRK3	O94933	/data/Dutta_lab/aric/EA/SeqId_10565_19.PHENO1.glm.linear	3	165196384	ARIC
SeqId_10571_14	MGAT1	P26572	/data/Dutta_lab/aric/EA/SeqId_10571_14.PHENO1.glm.linear	5	180802767	ARIC
SeqId_10572_65	CST8	O60676	/data/Dutta_lab/aric/EA/SeqId_10572_65.PHENO1.glm.linear	20	23491101	ARIC
SeqId_10575_31	PUF60	Q9UHX1	/data/Dutta_lab/aric/EA/SeqId_10575_31.PHENO1.glm.linear	8	143818476	ARIC
SeqId_10580_14	SFTA2	Q6UW10	/data/Dutta_lab/aric/EA/SeqId_10580_14.PHENO1.glm.linear	6	30932109	ARIC
SeqId_10582_36	POMK	Q9H5K3	/data/Dutta_lab/aric/EA/SeqId_10582_36.PHENO1.glm.linear	8	43093506	ARIC
SeqId_10583_1	TMEM108	Q6UXF1	/data/Dutta_lab/aric/EA/SeqId_10583_1.PHENO1.glm.linear	3	133038391	ARIC
SeqId_10584_7	NDUFS4	O43181	/data/Dutta_lab/aric/EA/SeqId_10584_7.PHENO1.glm.linear	5	53560633	ARIC
SeqId_10588_39	ST3GAL5	Q9UNP4	/data/Dutta_lab/aric/EA/SeqId_10588_39.PHENO1.glm.linear	2	85846253	ARIC
SeqId_10603_1	HTN3	P15516	/data/Dutta_lab/aric/EA/SeqId_10603_1.PHENO1.glm.linear	4	70028413	ARIC
SeqId_10605_22	APMAP	Q9HDC9	/data/Dutta_lab/aric/EA/SeqId_10605_22.PHENO1.glm.linear	20	24992642	ARIC
SeqId_10606_34	TOR1AIP1	Q5JTV8	/data/Dutta_lab/aric/EA/SeqId_10606_34.PHENO1.glm.linear	1	179882042	ARIC
SeqId_10608_9	HTN1	P15515	/data/Dutta_lab/aric/EA/SeqId_10608_9.PHENO1.glm.linear	4	70050438	ARIC
SeqId_10612_18	PLOD3	O60568	/data/Dutta_lab/aric/EA/SeqId_10612_18.PHENO1.glm.linear	7	101210439	ARIC
SeqId_10613_33	CASC4	Q6P4E1	/data/Dutta_lab/aric/EA/SeqId_10613_33.PHENO1.glm.linear	15	44288719	ARIC
SeqId_10615_18	MPZ	P25189	/data/Dutta_lab/aric/EA/SeqId_10615_18.PHENO1.glm.linear	1	161306190	ARIC
SeqId_10616_67	PODXL2	Q9NZ53	/data/Dutta_lab/aric/EA/SeqId_10616_67.PHENO1.glm.linear	3	127629185	ARIC
SeqId_10618_190	LRP2	P98164	/data/Dutta_lab/aric/EA/SeqId_10618_190.PHENO1.glm.linear	2	169139663	ARIC
SeqId_10620_21	MSMB	P08118	/data/Dutta_lab/aric/EA/SeqId_10620_21.PHENO1.glm.linear	10	46046269	ARIC
SeqId_10621_26	PRR16	Q569H4	/data/Dutta_lab/aric/EA/SeqId_10621_26.PHENO1.glm.linear	5	120464300	ARIC
SeqId_10623_19	MUC1	P15941	/data/Dutta_lab/aric/EA/SeqId_10623_19.PHENO1.glm.linear	1	155187767	ARIC
SeqId_10624_45	SPINK13	Q1W4C9	/data/Dutta_lab/aric/EA/SeqId_10624_45.PHENO1.glm.linear	5	148268180	ARIC
SeqId_10627_87	APLP2	Q06481	/data/Dutta_lab/aric/EA/SeqId_10627_87.PHENO1.glm.linear	11	130068147	ARIC
SeqId_10630_5	HTATIP2	Q9BUP3	/data/Dutta_lab/aric/EA/SeqId_10630_5.PHENO1.glm.linear	11	20363685	ARIC
SeqId_10637_50	KIAA1324	Q6UXG2	/data/Dutta_lab/aric/EA/SeqId_10637_50.PHENO1.glm.linear	1	109113679	ARIC
SeqId_10638_1	TINF2	Q9BSI4	/data/Dutta_lab/aric/EA/SeqId_10638_1.PHENO1.glm.linear	14	24240242	ARIC
SeqId_10643_16	OLFM3	Q96PB7	/data/Dutta_lab/aric/EA/SeqId_10643_16.PHENO1.glm.linear	1	101837029	ARIC
SeqId_10647_18	ASCC1	Q8N9N2	/data/Dutta_lab/aric/EA/SeqId_10647_18.PHENO1.glm.linear	10	72134463	ARIC
SeqId_10663_42	INSIG1	O15503	/data/Dutta_lab/aric/EA/SeqId_10663_42.PHENO1.glm.linear	7	155297776	ARIC
SeqId_10666_7	GNPTG	Q9UJJ9	/data/Dutta_lab/aric/EA/SeqId_10666_7.PHENO1.glm.linear	16	1351931	ARIC
SeqId_10667_78	C1orf185	Q5T7R7	/data/Dutta_lab/aric/EA/SeqId_10667_78.PHENO1.glm.linear	1	51102221	ARIC
SeqId_10668_5	STX4	Q12846	/data/Dutta_lab/aric/EA/SeqId_10668_5.PHENO1.glm.linear	16	31032889	ARIC
SeqId_10672_75	SFTPB	P07988	/data/Dutta_lab/aric/EA/SeqId_10672_75.PHENO1.glm.linear	2	85663478	ARIC
SeqId_10675_223	TMX2	Q9Y320	/data/Dutta_lab/aric/EA/SeqId_10675_223.PHENO1.glm.linear	11	57712593	ARIC
SeqId_10677_9	NDUFB4	O95168	/data/Dutta_lab/aric/EA/SeqId_10677_9.PHENO1.glm.linear	3	120596328	ARIC
SeqId_10693_43	KLRG2	A4D1S0	/data/Dutta_lab/aric/EA/SeqId_10693_43.PHENO1.glm.linear	7	139483663	ARIC
SeqId_10695_12	WFDC10B	Q8IUB3	/data/Dutta_lab/aric/EA/SeqId_10695_12.PHENO1.glm.linear	20	45705019	ARIC
SeqId_10699_52	LRP1	Q07954	/data/Dutta_lab/aric/EA/SeqId_10699_52.PHENO1.glm.linear	12	57128483	ARIC
SeqId_10700_10	IGSF11	Q5DX21	/data/Dutta_lab/aric/EA/SeqId_10700_10.PHENO1.glm.linear	3	118930253	ARIC
SeqId_10702_1	COL28A1	Q2UY09	/data/Dutta_lab/aric/EA/SeqId_10702_1.PHENO1.glm.linear	7	7360459	ARIC
SeqId_10703_203	SUDS3	Q9H7L9	/data/Dutta_lab/aric/EA/SeqId_10703_203.PHENO1.glm.linear	12	118376555	ARIC
SeqId_10705_14	ST6GALNAC3	Q8NDV1	/data/Dutta_lab/aric/EA/SeqId_10705_14.PHENO1.glm.linear	1	76074746	ARIC
SeqId_10708_3	GNRH2	O43555	/data/Dutta_lab/aric/EA/SeqId_10708_3.PHENO1.glm.linear	20	3043622	ARIC
SeqId_10710_23	ZPBP2	Q6X784	/data/Dutta_lab/aric/EA/SeqId_10710_23.PHENO1.glm.linear	17	39868164	ARIC
SeqId_10713_151	CD300LB	A8K4G0	/data/Dutta_lab/aric/EA/SeqId_10713_151.PHENO1.glm.linear	17	74531474	ARIC
SeqId_10714_7	ACE	P12821	/data/Dutta_lab/aric/EA/SeqId_10714_7.PHENO1.glm.linear	17	63477061	ARIC
SeqId_10716_35	PSMD5	Q16401	/data/Dutta_lab/aric/EA/SeqId_10716_35.PHENO1.glm.linear	9	120824518	ARIC
SeqId_10722_13	SYK	P43405	/data/Dutta_lab/aric/EA/SeqId_10722_13.PHENO1.glm.linear	9	90801787	ARIC
SeqId_10731_10	HS3ST5	Q8IZT8	/data/Dutta_lab/aric/EA/SeqId_10731_10.PHENO1.glm.linear	6	114062877	ARIC
SeqId_10737_96	SERPINB1	P30740	/data/Dutta_lab/aric/EA/SeqId_10737_96.PHENO1.glm.linear	6	2837999	ARIC
SeqId_10748_216	PCDHB2	Q9Y5E7	/data/Dutta_lab/aric/EA/SeqId_10748_216.PHENO1.glm.linear	5	141094606	ARIC
SeqId_10752_8	CDYL2	Q8N8U2	/data/Dutta_lab/aric/EA/SeqId_10752_8.PHENO1.glm.linear	16	80633180	ARIC
SeqId_10753_31	ADAM7	Q9H2U9	/data/Dutta_lab/aric/EA/SeqId_10753_31.PHENO1.glm.linear	8	24440930	ARIC
SeqId_10754_113	PROK2	Q9HC23	/data/Dutta_lab/aric/EA/SeqId_10754_113.PHENO1.glm.linear	3	71785148	ARIC
SeqId_10756_34	UCN3	Q969E3	/data/Dutta_lab/aric/EA/SeqId_10756_34.PHENO1.glm.linear	10	5364966	ARIC
SeqId_10758_2	KERA	O60938	/data/Dutta_lab/aric/EA/SeqId_10758_2.PHENO1.glm.linear	12	91057983	ARIC
SeqId_10760_107	GRIA4	P48058	/data/Dutta_lab/aric/EA/SeqId_10760_107.PHENO1.glm.linear	11	105609994	ARIC
SeqId_10761_5	TMED2	Q15363	/data/Dutta_lab/aric/EA/SeqId_10761_5.PHENO1.glm.linear	12	123584533	ARIC
SeqId_10762_2	KLRG2	A4D1S0	/data/Dutta_lab/aric/EA/SeqId_10762_2.PHENO1.glm.linear	7	139483663	ARIC
SeqId_10772_21	CSGALNACT2	Q8N6G5	/data/Dutta_lab/aric/EA/SeqId_10772_21.PHENO1.glm.linear	10	43138445	ARIC
SeqId_10781_19	CLEC4G	Q6UXB4	/data/Dutta_lab/aric/EA/SeqId_10781_19.PHENO1.glm.linear	19	7732171	ARIC
SeqId_10785_8	LRRC52	Q8N7C0	/data/Dutta_lab/aric/EA/SeqId_10785_8.PHENO1.glm.linear	1	165544007	ARIC
SeqId_10798_4	CD300E	Q496F6	/data/Dutta_lab/aric/EA/SeqId_10798_4.PHENO1.glm.linear	17	74619347	ARIC
SeqId_10800_15	SERPINH1	P50454	/data/Dutta_lab/aric/EA/SeqId_10800_15.PHENO1.glm.linear	11	75562056	ARIC
SeqId_10809_14	KLRB1	Q12918	/data/Dutta_lab/aric/EA/SeqId_10809_14.PHENO1.glm.linear	12	9607916	ARIC
SeqId_10814_7	CD1A	P06126	/data/Dutta_lab/aric/EA/SeqId_10814_7.PHENO1.glm.linear	1	158254424	ARIC
SeqId_10815_2	HABP4	Q5JVS0	/data/Dutta_lab/aric/EA/SeqId_10815_2.PHENO1.glm.linear	9	96450169	ARIC
SeqId_10816_150	PILRA	Q9UKJ1	/data/Dutta_lab/aric/EA/SeqId_10816_150.PHENO1.glm.linear	7	100367530	ARIC
SeqId_10817_26	TOMM20L	Q6UXN7	/data/Dutta_lab/aric/EA/SeqId_10817_26.PHENO1.glm.linear	14	58395928	ARIC
SeqId_10818_36	SMPD1	P17405	/data/Dutta_lab/aric/EA/SeqId_10818_36.PHENO1.glm.linear	11	6390440	ARIC
SeqId_10825_12	VSIG10	Q8N0Z9	/data/Dutta_lab/aric/EA/SeqId_10825_12.PHENO1.glm.linear	12	118073741	ARIC
SeqId_10827_67	LINGO3	P0C6S8	/data/Dutta_lab/aric/EA/SeqId_10827_67.PHENO1.glm.linear	19	2292024	ARIC
SeqId_10830_5	EFCAB14	O75071	/data/Dutta_lab/aric/EA/SeqId_10830_5.PHENO1.glm.linear	1	46684564	ARIC
SeqId_10832_24	B4GALT6	Q9UBX8	/data/Dutta_lab/aric/EA/SeqId_10832_24.PHENO1.glm.linear	18	31658464	ARIC
SeqId_10833_64	HHIP	Q96QV1	/data/Dutta_lab/aric/EA/SeqId_10833_64.PHENO1.glm.linear	4	144646156	ARIC
SeqId_10835_25	A4GNT	Q9UNA3	/data/Dutta_lab/aric/EA/SeqId_10835_25.PHENO1.glm.linear	3	138132390	ARIC
SeqId_10842_7	GCNT4	Q9P109	/data/Dutta_lab/aric/EA/SeqId_10842_7.PHENO1.glm.linear	5	75030899	ARIC
SeqId_10847_1	SIGLEC15	Q6ZMC9	/data/Dutta_lab/aric/EA/SeqId_10847_1.PHENO1.glm.linear	18	45825675	ARIC
SeqId_10848_137	BTNL3	Q6UXE8	/data/Dutta_lab/aric/EA/SeqId_10848_137.PHENO1.glm.linear	5	180988846	ARIC
SeqId_10851_77	EBI3	Q14213	/data/Dutta_lab/aric/EA/SeqId_10851_77.PHENO1.glm.linear	19	4229523	ARIC
SeqId_10852_114	HNRNPDL	O14979	/data/Dutta_lab/aric/EA/SeqId_10852_114.PHENO1.glm.linear	4	82429397	ARIC
SeqId_10866_60	SMEK1	Q6IN85	/data/Dutta_lab/aric/EA/SeqId_10866_60.PHENO1.glm.linear	14	91461684	ARIC
SeqId_10876_300	BRAT1	Q6PJG6	/data/Dutta_lab/aric/EA/SeqId_10876_300.PHENO1.glm.linear	7	2541024	ARIC
SeqId_10880_38	FAM163B	P0C2L3	/data/Dutta_lab/aric/EA/SeqId_10880_38.PHENO1.glm.linear	9	133580246	ARIC
SeqId_10882_12	DSC1	Q08554	/data/Dutta_lab/aric/EA/SeqId_10882_12.PHENO1.glm.linear	18	31162856	ARIC
SeqId_10885_36	C6orf89	Q6UWU4	/data/Dutta_lab/aric/EA/SeqId_10885_36.PHENO1.glm.linear	6	36871870	ARIC
SeqId_10889_2	MRAP2	Q96G30	/data/Dutta_lab/aric/EA/SeqId_10889_2.PHENO1.glm.linear	6	84033772	ARIC
SeqId_10890_135	LCTL	Q6UWM7	/data/Dutta_lab/aric/EA/SeqId_10890_135.PHENO1.glm.linear	15	66565497	ARIC
SeqId_10892_8	OSMR	Q99650	/data/Dutta_lab/aric/EA/SeqId_10892_8.PHENO1.glm.linear	5	38845858	ARIC
SeqId_10895_28	TMPRSS11B	Q86T26	/data/Dutta_lab/aric/EA/SeqId_10895_28.PHENO1.glm.linear	4	68229678	ARIC
SeqId_10900_272	STMN2	Q93045	/data/Dutta_lab/aric/EA/SeqId_10900_272.PHENO1.glm.linear	8	79610814	ARIC
SeqId_10903_50	STX8	Q9UNK0	/data/Dutta_lab/aric/EA/SeqId_10903_50.PHENO1.glm.linear	17	9273434	ARIC
